,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,460,682,1416,364,1264,769,886,-720,407,1257
+ Depreciation & Amortization,603,628,692,686,347,325,346,331,188,162
+ Non-Cash Items,151,129,-684,21,-545,64,14,204,42,91
+ Stock-Based Compensation,262,78,124,65,74,127,154,97,193,162
+ Deferred Income Taxes,65,14,-479,-79,-727,-14,-20,-235,-4,34
+ Asset Impairment Charge,0,0,9,15,0,0,0,258,0,0
+ Other Non-Cash Adj,-176,37,-338,20,108,-49,-120,84,-147,-105
+ Chg in Non-Cash Work Cap,887,-73,-30,279,-142,97,138,893,-528,171
+ (Inc) Dec in Accts Receiv,-31,-227,-61,-113,-234,-144,-105,488,-301,-270
+ (Inc) Dec in Inventories,19,56,-39,15,0,0,0,0,0,0
+ (Inc) Dec in Prepaid Assets,4,-8,-27,-20,-15,-39,6,60,-22,-21
+ Inc (Dec) in Accts Payable,124,18,72,245,8,148,99,-414,273,198
+ Inc (Dec) in Other,771,88,25,152,99,132,138,759,-478,264
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,2101,1366,1394,1350,924,1255,1384,708,109,1681
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-420,-467,-446,-453,-208,-159,-205,-92,-79,-102
+ Acq of Fixed Prod Assets,-376,-402,-409,-398,-133,-159,-205,-92,-79,-102
+ Acq of Intangible Assets,-44,-65,-37,-55,-75,0,0,0,0,0
+ Net Change in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Dec in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Acq & Div,-30,0,-1410,0,0,0,0,0,0,-53
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,-30,0,-1410,0,0,0,0,0,0,-53
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,68,157,2248,-25,-14,28,82,-15,22,32
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-382,-310,392,-478,-222,-131,-123,-107,-57,-123
+ Dividends Paid,0,0,-138,-277,-195,-181,-172,-42,0,-123
+ Net Cash From Debt,-3115,-1074,-1576,356,-36,671,653,2469,-1720,-25
+ Cash From Debt,14088,350,48,4715,1824,1676,2200,4590,1510,23
+ Repayments of Debt,-17203,-1424,-1624,-4359,-1860,-1005,-1547,-2121,-3230,-48
+ Cash (Repurchase) of Equity,1243,0,0,0,-891,-1721,-1538,-296,0,-1590
+ Increase in Capital Stock,1243,0,0,0,0,0,0,0,0,0
+ Decrease in Capital Stock,0,0,0,0,-891,-1721,-1538,-296,0,-1590
+ Other Financing Activities,9,4,-10,-108,-602,-69,-56,-99,-73,-27
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-1863,-1070,-1724,-29,-1724,-1300,-1113,2032,-1793,-1765
Effect of Foreign Exchange Rates,-17,-14,-19,-15,8,-10,-2,0,-10,-19
Net Changes in Cash,-144,-14,62,843,-1022,-176,148,2633,-1741,-207
EBITDA,1705,2301,2466,2553,1719,1757,1922,212,1205,2256
EBITDA Margin (%),17.51,21.91,21.88,21.89,18.81,19.73,20.33,4.92,20.82,25.72
Net Cash Paid for Acquisitions,30,0,1410,0,0,0,0,0,0,53
Free Cash Flow,1681,899,948,897,716,1096,1179,616,30,1579
Free Cash Flow to Firm,2090,1266,1492,1067,0,1361,1474,0,319,1880
Free Cash Flow to Equity,-1390,-110,-591,1308,755,1767,1832,3085,-1690,1554
Free Cash Flow per Basic Share,5.47,2.74,2.88,2.73,2.21,3.63,4.11,2.22,0.11,5.74
Price/Free Cash Flow,5.48,9.60,7.94,10.22,23.07,15.30,20.33,38.43,231.65,19.63
Cash Flow to Net Income,5.06,2.03,0.99,3.88,0.73,1.64,1.57,-0.99,0.27,1.34
