,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.28,0.25,0.25,0.53,0.26,0.15,0.19,1.32,0.47,0.36
Current Ratio,1.11,1.11,1.05,1.33,0.90,0.76,0.73,1.73,0.95,0.85
Quick Ratio,0.68,0.74,0.69,0.96,0.73,0.60,0.63,1.64,0.83,0.75
CFO/Avg Current Liab,0.94,0.62,0.59,0.52,0.38,0.52,0.50,0.27,0.04,0.53
Common Equity/Total Assets,-20.03,-17.79,-13.15,-12.64,-46.08,-45.83,-39.86,-40.16,-40.92,-33.44
Long-Term Debt/Equity (%),296.33,245.12,173.40,181.93,315.95,1302.15,0,0,0,0
Long-Term Debt/Capital (%),173.22,164.93,144.71,142.85,54633.33,830.40,280.07,232.55,277.02,211.62
Long-Term Debt/Total Assets (%),47.70,44.23,40.13,40.60,45.82,51.92,60.13,68.05,62.06,61.50
Total Debt/Equity (%),297.54,248.03,177.23,184.85,318.17,1305.02,-1941.31,-782.50,-1193.65,-882.60
Total Debt/Capital (%),173.93,166.89,147.90,145.15,55016.67,832.23,285.36,237.16,282.63,214.97
Total Debt/Total Assets (%),47.90,44.75,41.01,41.25,46.14,52.03,61.26,69.40,63.31,62.47
CFO/Total Liabilities,9.43,6.38,7.05,6.63,7.55,9.34,8.97,3.88,0.67,10.12
CFO/CapEx,5.00,2.93,3.13,2.98,4.44,7.89,6.75,7.70,1.38,16.48
Altman's Z-Score,0.87,1.24,1.39,1.56,2.69,2.39,2.65,0.43,1.62,2.92
