,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,68000,75109,76616,84476,110373,95402,125452,146990,141829,143067
- Cash & Cash Equivalents,6422,6959,5455,7843,7059,9287,9067,14275,10959,9627
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,167,219,290,3,5,7,7,7,7,7
+ Total Debt,8829,8683,12068,15775,17882,16214,16002,22384,19599,19570
Enterprise Value,70574,77052,83519,90891,117443,100713,131045,154161,149912,152534
Total Capital,30337,32975,39463,45446,47100,51157,54660,63254,63391,65628
Total Debt/Capital (%),29.10,26.33,30.58,34.71,37.97,31.69,29.28,35.39,30.92,29.82
Total Debt / EV,0.13,0.11,0.14,0.17,0.15,0.16,0.12,0.15,0.13,0.13
EV/Sales,1.81,1.91,2.16,2.31,2.90,2.41,3.57,4.72,4.36,4.30
EV/EBITDA,10.87,11.41,10.83,11.78,14.21,12.88,16.51,23.02,20.20,19.99
EV/EBIT,12.83,13.21,12.23,13.60,16.42,15.02,19.13,27.06,24.18,23.73
EV/Cash Flow to Firm,15.43,14.65,14.70,15.80,19.43,14.88,18.22,23.72,23.78,27.26
EV/Free Cash Flow to Firm,12.78,12.13,12.36,13.27,16.60,13.26,16.32,20.82,20.82,23.97
Diluted Market Cap,69171,76358,78606,86086,113489,98462,128840,150028,145060,146388
Diluted Enterprise Value,71745,78301,85509,94021,124317,105396,135782,158144,153707,156338
EV per Share,90.04,98.51,108.56,119.47,156.40,138.04,184.29,221.24,218.91,228.48
TTM Sales,39055,40306,38581,39302,40534,41802,36709,32637,34392,35466
TTM EBITDA,6490,6755,7711,7713,8266,7821,7939,6698,7423,7631
TTM Operating Income,5501,5831,6828,6683,7151,6705,6851,5696,6200,6427
TTM Cash Flow to Firm,4574,5261,5682,5752,6044,6769,7191,6499,6304,5596
TTM Free Cash Flow to Firm,5521,6355,6755,6847,7075,7597,8030,7405,7199,6362
