,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,5.09,5.07,4.81,4.65,4.58,5.11,4.89,4.56,5.04,4.97
Days Sales Outstanding,71.77,71.94,75.85,78.44,79.62,71.49,74.58,80.07,72.47,73.43
Inventory Turnover,6.65,6.66,6.06,6.18,6.14,6.50,5.57,4.98,4.86,4.46
Days Inventory Outstanding,54.87,54.82,60.21,59.06,59.43,56.16,65.59,73.35,75.10,81.78
Accounts Payable Turnover,5.74,5.52,4.89,4.81,4.53,4.72,4.31,3.87,3.93,3.78
Accounts Payable Turnover Days,63.63,66.17,74.64,75.91,80.51,77.36,84.68,94.22,92.86,96.53
Cash Conversion Cycle,63.00,60.60,61.43,61.59,58.53,50.29,55.49,59.21,54.71,58.68
Inventory to Cash Days,16.90,17.12,15.64,19.38,20.19,15.32,8.99,6.73,-2.63,-8.35
Inventories,4293,4405,4420,4366,4613,4326,4421,4489,5138,5538
Raw Materials,1121,1124,1120,1104,1193,1109,1056,1079,1352,1407
Work In Process,841,815,826,775,790,811,817,798,861,1049
Finished Goods,2497,2634,2590,2552,2669,2445,2593,2612,2925,3082
Other Inventory,0,0,0,0,0,0,0,0,0,0
