,2019,2020,2021,2022
Total Debt,4400,6151,5455,4783
ST Debt,989,1474,676,994
LT Debt,3411,4677,4779,3789
Total Debt/EBITDA,2.99,-21.36,10.82,3.36
Net Debt/EBITDA,1.51,-11.13,8.10,2.50
Total Debt/EBIT,5.54,-6.45,-21.14,6.31
Net Debt/EBIT,2.80,-3.36,-15.83,4.68
EBITDA to Interest Expense,6.62,-1.48,2.64,9.12
EBITDA-CapEx/Interest Expense,4.11,-4.06,0.40,5.88
EBIT to Interest Expense,3.58,-4.91,-1.35,4.86
Interest Expense,222,194,191,156
Common Equity/Total Assets,-2.44,-9.10,-9.59,-7.60
Long-Term Debt/Equity (%),45.68,72.69,72.72,55.08
Long-Term Debt/Capital (%),80.30,91.87,108.59,94.25
Long-Term Debt/Total Assets (%),27.72,36.28,38.69,30.88
Total Debt/Equity (%),58.93,95.60,83.00,69.53
Total Debt/Capital (%),103.58,120.82,123.95,118.98
Total Debt/Total Assets (%),35.76,47.72,44.16,38.98
Net Debt to Equity,29.74,49.83,62.14,51.58
Net Debt/Capital (%),83.03,116.33,113.63,105.82
EBITDA,1470,-288,504,1422
EBITDA-CapEx,912,-787,77,918
Operating Income (Loss),794,-953,-258,758
