,2019,2020,2021,2022
Price/Earnings,14.73,0,0,18.12
Price/Earnings Average,14.22,0,0,17.75
Price/Earnings High,16.15,0,0,24.42
Price/Earnings Low,12.31,0,0,8.87
Price/Book Value,-44.11,0,0,-12.29
Price/Book Value Average,-42.59,0,0,-12.03
Price/Book Value High,-48.38,0,0,-16.56
Price/Book Value Low,-36.88,0,0,-6.01
Price/Tangible Book Value,1.77,0,0,1.66
Price/Tangible Book Value Average,1.71,0,0,1.63
Price/Tangible Book Value High,1.94,0,0,2.24
Price/Tangible Book Value Low,1.48,0,0,0.81
Price/Sales,2.48,0,0,2.34
Price/Sales Average,2.39,0,0,2.29
Price/Sales High,2.72,0,0,3.15
Price/Sales Low,2.07,0,0,1.14
Price/Cash Flow,10.84,0,0,8.10
Price/Cash Flow Average,10.46,0,0,7.93
Price/Cash Flow High,11.89,0,0,10.92
Price/Cash Flow Low,9.06,0,0,3.96
Price/Free Cash Flow,7.50,0,0,6.00
Price/Free Cash Flow Average,7.24,0,0,5.87
Price/Free Cash Flow High,8.23,0,0,8.08
Price/Free Cash Flow Low,6.27,0,0,2.94
EV/Sales,2.96,2.43,1.65,3.21
EV/Sales Average,2.88,2.43,1.65,3.16
EV/Sales High,3.20,2.43,1.65,4.02
EV/Sales Low,2.57,2.43,1.65,2.02
EV/EBITDA,11.03,0,9.48,11.07
EV/EBITDA Average,10.72,-13.64,9.48,10.90
EV/EBITDA High,11.90,-13.64,9.48,13.86
EV/EBITDA Low,9.55,-13.64,9.48,6.95
EV/EBIT,20.41,0,0,20.76
EV/EBIT Average,19.84,-4.12,-18.52,20.45
EV/EBIT High,22.03,-4.12,-18.52,26.01
EV/EBIT Low,17.68,-4.12,-18.52,13.05
Last Price,18.55,0,0,16.05
High Price,20.35,0,0,21.63
Low Price,15.51,0,0,7.86
Enterprise Value,16209,3929,4779,15735
Enterprise Value Average,15752,3929,4779,15498
Enterprise Value High,17489,3929,4779,19716
Enterprise Value Low,14040,3929,4779,9889
