,2019,2020,2021,2022
Shares Outstanding,713,705,714,713
Diluted Weighted Avg Shares,731,706,710,718
Basic Weighted Avg Shares,730,706,710,715
Revenue per Share,7.49,2.29,4.07,6.87
EBITDA per Share,2.01,-0.41,0.71,1.99
Operating Income per Share,1.09,-1.35,-0.36,1.06
"Basic EPS, GAAP",1.26,-1.04,-0.02,0.89
Basic EPS from Cont Ops,1.28,-1.05,-0.02,0.90
"Diluted EPS, GAAP",1.26,-1.04,-0.02,0.88
Diluted EPS from Cont Ops,1.27,-1.05,-0.02,0.90
Dividend per Share,0.85,0.45,0,0.21
Cash Flow per Share,1.71,-0.43,0.41,1.98
Free Cash Flow per Basic Share,0.95,-1.14,-0.19,1.28
Cash & Equivalents per Share,2.20,3.31,1.13,0.93
Book Value per Share,-0.42,-1.66,-1.66,-1.31
Tangible Book Value per Share,10.47,9.12,9.20,9.64
