,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,-5.81,-0.09,5.14
Return on Capital (%),0,0,0,18.36
Return on Invested Capital (%),0,0,0,6.15
Gross Margin (%),56.88,32.47,55.02,59.65
EBITDA Margin (%),26.88,-17.78,17.44,28.98
Operating Margin (%),14.52,-58.83,-8.93,15.45
Incremental Operating Margin (%),0,0,0,50.37
Pretax Margin (%),17.59,-59.32,-3.53,13.63
Profit Margin (%),16.82,-45.19,-0.38,12.90
Net Income to Common Margin (%),16.82,-45.19,-0.38,12.90
Effective Tax Rate (%),3.12,0,0,3.89
Dvd Payout Ratio (%),66.00,-42.67,0,22.97
Sustainable Growth Rate (%),0,0,0,0
