,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,3003,4159,4421,4304,5061,6240,5891,6980,12820,11424
ST Debt,403,334,600,512,291,1865,924,920,2279,2390
LT Debt,2600,3825,3821,3792,4770,4375,4967,6060,10541,9034
Total Debt/EBITDA,7.05,9.26,9.89,9.26,10.44,11.69,10.25,11.33,17.98,13.52
Net Debt/EBITDA,4.38,4.95,4.14,0.92,2.10,7.30,3.19,3.75,13.22,7.53
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,3.04,2.34,2.40,2.46,2.00,2.45,2.38,2.18,2.19,2.11
EBITDA-CapEx/Interest Expense,-0.08,-0.41,-0.41,-0.33,-0.17,-0.36,-0.67,-1.23,-1.85,-0.69
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,140,192,186,189,242,218,242,283,326,401
Common Equity/Total Assets,43.28,42.40,44.73,45.23,50.42,59.44,60.25,58.77,52.14,59.28
Long-Term Debt/Equity (%),27.91,39.65,36.93,35.49,48.47,43.06,41.26,44.14,65.46,58.78
Long-Term Debt/Capital (%),21.71,27.11,24.70,24.01,25.42,20.50,21.22,22.01,29.31,24.41
Long-Term Debt/Total Assets (%),12.54,16.30,15.47,14.93,17.55,17.22,17.08,17.33,23.77,20.98
Total Debt/Equity (%),32.23,43.12,42.73,40.28,51.42,61.41,48.94,50.84,79.61,74.33
Total Debt/Capital (%),25.07,29.48,28.58,27.26,26.97,29.23,25.17,25.35,35.65,30.87
Total Debt/Total Assets (%),14.48,17.72,17.90,16.95,18.62,24.55,20.26,19.96,28.91,26.53
Net Debt to Equity,20.02,23.06,17.88,4.00,10.35,38.35,15.26,16.81,58.54,41.40
Net Debt/Capital (%),17.20,18.27,14.34,3.58,6.92,20.51,9.49,10.09,28.94,19.92
EBITDA,426,449,447,465,485,534,575,616,713,845
EBITDA-CapEx,-11,-79,-76,-62,-41,-78,-161,-348,-603,-275
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
