,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,8827,8084,6844,6330,5940,5075,4232,4194
ST Debt,0,41,40,38,434,1034,376,5,32
LT Debt,0,8786,8044,6806,5896,4906,4699,4227,4162
Total Debt/EBITDA,0,4.11,3.84,3.89,3.31,2.71,4.43,3.82,3.38
Net Debt/EBITDA,0,3.48,2.95,2.67,2.12,1.96,3.02,3.17,2.72
Total Debt/EBIT,0,10.18,8.30,5.66,4.75,3.59,6.28,5.05,4.30
Net Debt/EBIT,0,8.61,6.39,3.88,3.04,2.59,4.29,4.19,3.46
EBITDA to Interest Expense,5.06,4.54,4.22,3.55,5.05,6.48,3.01,4.28,5.41
EBITDA-CapEx/Interest Expense,2.30,2.04,1.97,2.35,3.02,4.59,2.31,3.51,4.57
EBIT to Interest Expense,1.95,1.83,1.95,2.44,3.53,4.90,2.12,3.24,4.26
Interest Expense,442,473,499,496,378,338,381,259,229
Common Equity/Total Assets,0,28.03,-3.93,-4.10,0.67,3.20,6.96,10.03,14.04
Long-Term Debt/Equity (%),0,62.18,155.83,138.22,105.57,106.17,131.26,120.50,115.58
Long-Term Debt/Capital (%),0,41.45,109.00,110.74,90.40,74.66,79.28,79.57,73.16
Long-Term Debt/Total Assets (%),0,24.09,40.14,36.36,31.54,27.91,41.05,41.36,40.59
Total Debt/Equity (%),0,62.47,156.61,138.99,113.34,128.54,141.76,120.64,116.47
Total Debt/Capital (%),0,41.65,109.54,111.36,97.06,90.40,85.63,79.67,73.72
Total Debt/Total Assets (%),0,24.20,40.34,36.56,33.86,33.79,44.34,41.41,40.90
Net Debt to Equity,0,52.83,120.52,95.33,72.57,92.88,96.79,100.11,93.61
Net Debt/Capital (%),0,37.64,112.76,117.47,95.48,87.18,80.26,76.48,68.82
EBITDA,2236,2147,2106,1761,1910,2191,1146,1108,1240
EBITDA-CapEx,1017,967,981,1165,1142,1550,879,909,1047
Operating Income (Loss),864,867,974,1210,1334,1655,808,838,975
