,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,443,439,439,481,483,433,433,422,412
Diluted Weighted Avg Shares,443,443,438,451,503,463,439,435,421
Basic Weighted Avg Shares,438,438,438,451,483,446,435,430,416
Revenue per Share,28.63,28.34,28.30,28.74,29.01,31.82,12.09,11.56,13.61
EBITDA per Share,5.11,4.90,4.81,3.90,3.95,4.91,2.63,2.58,2.98
Operating Income per Share,1.97,1.98,2.22,2.68,2.76,3.71,1.86,1.95,2.34
"Basic EPS, GAAP",0.56,-0.89,-2.28,-0.28,1.33,1.05,0.60,0.60,1.12
Basic EPS from Cont Ops,-0.14,-0.36,-2.40,-0.16,1.33,1.05,0.49,0.60,1.13
"Diluted EPS, GAAP",0.56,-0.88,-2.28,-0.28,1.27,1.01,0.59,0.59,1.11
Diluted EPS from Cont Ops,-0.14,-0.35,-2.40,-0.16,1.28,1.02,0.48,0.59,1.11
Dividend per Share,0.37,0.51,0.52,0.36,0.25,0.13,0.03,0.04,0.11
Cash Flow per Share,3.82,3.61,1.99,1.55,0.45,0.91,0.02,1.04,1.76
Free Cash Flow per Basic Share,1.04,0.92,-0.58,0.23,-1.14,-0.53,-0.59,0.58,1.30
Cash & Equivalents per Share,0,3.11,4.25,4.47,4.71,3.81,3.72,1.71,1.92
Book Value per Share,0,23.32,-1.80,-1.59,0.26,1.30,1.84,2.43,3.49
Tangible Book Value per Share,0,17.60,-0.10,-1.36,0.23,-1.35,-2.65,-2.76,-2.40
