,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,16500,12000,13200,11872,5753,8728,9431,5590,5743,1639
+ Depreciation & Amortization,4700,4500,3900,4381,4541,4479,6059,6695,6416,4802
+ Non-Cash Items,600,-1000,400,544,535,511,679,938,983,6881
+ Stock-Based Compensation,600,500,500,544,534,510,679,937,982,987
+ Deferred Income Taxes,-1610,-237,1387,-1132,-931,853,-1527,-3203,-2001,-2726
+ Asset Impairment Charge,0,0,0,0,0,0,0,0,0,0
+ Other Non-Cash Adj,1610,-1263,-1487,1132,932,-852,1527,3204,2002,8620
+ Chg in Non-Cash Work Cap,-4300,1400,-500,-279,5895,1529,-1399,4974,-346,-2887
+ (Inc) Dec in Accts Receiv,-1300,700,200,1218,419,-345,491,4349,3907,-717
+ (Inc) Dec in Inventories,-57,-39,133,-14,18,-127,67,-209,138,71
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,-529,-456,81,197,47,126,-503,138,85,213
+ Inc (Dec) in Other,-2414,1195,-914,-1680,5411,1875,-1454,696,-4476,-2454
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,17500,16900,17000,16518,16724,15247,14770,18197,12796,10435
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,372,404,370,424,460,248,537,188,387,111
+ Disp of Fixed Prod Assets,372,404,370,424,460,248,537,188,387,111
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-4140,-4183,-4151,-4150,-3773,-3964,-2907,-3230,-2768,-1972
+ Acq of Fixed Prod Assets,-3623,-3740,-3579,-3567,-3229,-3395,-2286,-2618,-2062,-1346
+ Acq of Intangible Assets,-517,-443,-572,-583,-544,-569,-621,-612,-706,-626
+ Net Change in LT Investment,4073,1593,2242,5016,827,5429,268,-628,-414,-1265
+ Dec in LT Investment,4873,2493,2842,5692,3910,6487,3961,5618,3147,4665
+ Inc in LT Investment,-800,-900,-600,-676,-3083,-1058,-3693,-6246,-3561,-5930
+ Net Cash From Acq & Div,-2800,1700,-3700,-6133,-701,-139,-31554,167,-3179,-1076
+ Cash from Divestitures,300,2400,0,0,0,0,1076,503,114,1272
+ Cash for Acq of Subs,-3100,-700,-3700,-6133,-701,-139,-32630,-336,-3293,-2348
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,-4805,-2514,-2961,-5693,-3909,-6487,6720,475,-1,0
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-7300,-3000,-8200,-10536,-7096,-4913,-26936,-3028,-5975,-4202
+ Dividends Paid,-4100,-4300,-4900,-5256,-5506,-5666,-5707,-5797,-5869,-5948
+ Net Cash From Debt,-3013,-2844,-5622,-3632,-3370,6591,18881,-2861,-8075,1004
+ Cash From Debt,7000,1800,0,2763,3446,6891,31825,10504,522,7804
+ Repayments of Debt,-10013,-4644,-5622,-6395,-6816,-300,-12944,-13365,-8597,-6800
+ Cash (Repurchase) of Equity,-12800,-13000,-4300,-3298,-4183,-4503,-1534,-210,311,-407
+ Increase in Capital Stock,1100,700,300,204,175,0,0,0,630,0
+ Decrease in Capital Stock,-13900,-13700,-4600,-3502,-4358,-4503,-1534,-210,-319,-407
+ Other Financing Activities,10013,4644,5622,6395,6641,-6891,-2598,-853,279,393
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-9900,-15500,-9200,-5791,-6418,-10469,9042,-9721,-13354,-4958
Effect of Foreign Exchange Rates,28,-700,-500,-51,937,-495,-167,-87,-185,-244
Net Changes in Cash,300,-1600,-400,191,3210,-135,-3124,5448,-6533,1275
EBITDA,24299,23032,19589,17486,16340,17696,16602,13481,13281,12976
EBITDA Margin (%),24.36,24.82,23.96,21.88,20.65,22.23,21.52,18.31,23.16,21.44
Net Cash Paid for Acquisitions,2800,-1700,3700,6133,701,139,31554,-167,3179,1076
Free Cash Flow,13360,12717,12849,12368,12951,11283,11863,14967,10028,8463
Free Cash Flow to Firm,13699,13098,13241,12975,13262,11839,13110,0,11153,0
Free Cash Flow to Equity,11236,10720,8169,9743,10585,18691,31902,12906,3046,10204
Free Cash Flow per Basic Share,12.21,12.66,13.13,12.95,13.88,12.37,13.37,16.81,11.19,9.38
Price/Free Cash Flow,9.08,7.33,6.19,7.36,6.71,5.15,6.41,4.97,7.78,10.36
Cash Flow to Net Income,1.06,1.41,1.29,1.39,2.91,1.75,1.57,3.26,2.23,6.37
