,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,99750,92793,81742,79919,79139,79591,77147,73620,57351,60530
+ Sales & Services Revenue,99750,92793,81742,79919,79139,79591,77147,73620,57351,60530
- Cost of Revenue,51246,46386,41057,41625,42913,42655,40659,38045,25864,27843
+ Cost of Goods & Services,51246,46386,41057,41625,42913,42655,40659,38045,25864,27843
Gross Profit,48505,46407,40684,38294,36227,36936,36488,35575,31486,32687
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,28906,27875,24995,25189,24428,23719,25945,28789,24621,24513
"+ Selling, General & Admin",23502,23180,20430,21069,20107,19366,20604,23082,18745,18609
+ Research & Development,6226,5437,5247,5751,5787,5379,5989,6333,6488,6567
+ Other Operating Expense,-822,-742,-682,-1631,-1466,-1026,-648,-626,-612,-663
Operating Income (Loss),19599,18532,15689,13105,11799,13217,10543,6786,6865,8174
- Non-Operating (Income) Loss,75,-1454,-256,775,399,1875,377,2149,2028,7018
"+ Interest Expense, Net",328,394,396,522,471,459,995,1183,1103,1054
+ Interest Expense,402,484,468,630,615,723,1344,1288,1155,1216
- Interest Income,74,90,72,108,144,264,349,105,52,162
+ Other Non-Op (Income) Loss,-253,-1848,-652,253,-72,1416,-618,966,925,5964
Pretax Income,19524,19986,15945,12330,11400,11342,10166,4637,4837,1156
- Income Tax Expense (Benefit),3041,4234,2581,449,5642,2619,731,-864,124,-626
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,16483,15751,13364,11881,5758,8723,9435,5501,4712,1782
- Net Extraordinary Losses (Gains),0,3729,174,9,5,-5,4,-89,-1030,143
+ Discontinued Operations,-398,-3729,-174,-9,-5,5,-4,89,1030,-143
+ Extraord. & Accounting Changes,398,7458,348,18,10,-10,8,-178,-2060,286
Income (Loss) Incl. MI,16483,12022,13190,11872,5753,8728,9431,5590,5742,1639
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",16483,12022,13190,11872,5753,8728,9431,5590,5742,1639
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",16483,12022,13190,11872,5753,8728,9431,5590,5742,1639
Basic Weighted Avg Shares,1094,1004,979,955,933,912,887,890,896,903
"Basic EPS, GAAP",15.06,11.97,13.48,12.43,6.17,9.57,10.63,6.28,6.41,1.82
Basic EPS from Cont Ops,15.06,15.68,13.65,12.44,6.17,9.56,10.63,6.18,5.26,1.97
Diluted Weighted Avg Shares,1103,1010,983,959,937,916,893,897,905,912
"Diluted EPS, GAAP",14.94,11.90,13.42,12.38,6.14,9.53,10.56,6.23,6.35,1.80
Diluted EPS from Cont Ops,14.94,15.60,13.60,12.39,6.14,9.52,10.57,6.14,5.21,1.95
EBITDA,24299,23032,19589,17486,16340,17696,16602,13481,13281,12976
EBITDA Margin (%),24.36,24.82,23.96,21.88,20.65,22.23,21.52,18.31,23.16,21.44
EBITA,19599,18532,15689,13105,11799,13217,10543,6786,6865,8174
EBIT,19599,18532,15689,13105,11799,13217,10543,6786,6865,8174
Gross Margin (%),48.63,50.01,49.77,47.92,45.78,46.41,47.30,48.32,54.90,54.00
Operating Margin (%),19.65,19.97,19.19,16.40,14.91,16.61,13.67,9.22,11.97,13.50
Profit Margin (%),16.52,12.96,16.14,14.86,7.27,10.97,12.22,7.59,10.01,2.71
Sales per Employee,215078,224803,198500,192855,198942,208845,202432,196163,186447,194443
Dividend per Share,3.75,4.28,5.01,5.50,5.90,6.21,6.43,6.51,6.55,6.59
Depreciation Expense,4700,4500,3900,4381,4541,4479,6059,6695,6416,4802
