,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.58,0.39,0.40,0.42,0.47,0.16,0.12,0.66,0.19,0.09
Current Ratio,1.36,0.93,0.96,0.90,0.97,0.85,0.94,1.82,1.25,0.89
Quick Ratio,0.91,0.58,0.62,0.64,0.70,0.48,0.50,1.23,0.67,0.42
CFO/Avg Current Liab,0.56,0.36,0.26,0.37,0.38,0.45,0.61,0.99,1.12,0.54
Common Equity/Total Assets,122.19,121.77,22.28,35.98,47.51,76.65,87.65,95.28,120.27,131.44
Long-Term Debt/Equity (%),29.01,297.65,0,0,0,0,393.03,135.67,112.35,114.07
Long-Term Debt/Capital (%),7.78,13.54,39.84,33.80,29.20,27.60,26.94,27.73,20.11,14.00
Long-Term Debt/Total Assets (%),12.22,25.29,40.48,38.75,35.37,39.12,38.14,37.41,31.81,25.28
Total Debt/Equity (%),82.67,764.53,-1393.04,-1112.72,-2342.18,-10833.80,555.42,143.57,133.87,221.50
Total Debt/Capital (%),22.17,34.78,78.07,68.61,60.77,45.91,38.07,29.35,23.96,27.19
Total Debt/Total Assets (%),34.81,64.95,79.33,78.66,73.60,65.07,53.90,39.59,37.90,49.09
CFO/Total Liabilities,34.54,18.62,13.88,20.41,21.12,25.87,27.75,39.00,43.24,25.40
CFO/CapEx,3.13,3.89,2.61,5.16,4.87,3.25,2.96,6.02,6.32,3.42
Altman's Z-Score,9.23,7.43,5.00,6.52,7.63,10.37,12.29,19.65,24.57,14.39
