,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,9.29,9.57,9.40,9.04,8.97,9.16,9.29,9.01,9.19,8.76
Days Sales Outstanding,39.28,38.13,38.81,40.38,40.70,39.86,39.29,40.51,39.72,41.68
Inventory Turnover,4.53,4.56,4.08,4.61,5.41,5.76,5.65,5.61,5.54,4.28
Days Inventory Outstanding,80.64,80.06,89.55,79.13,67.49,63.41,64.55,65.07,65.92,85.27
Accounts Payable Turnover,18.81,18.65,15.20,13.65,13.82,14.37,15.00,15.68,14.53,12.92
Accounts Payable Turnover Days,19.41,19.57,24.02,26.74,26.40,25.40,24.33,23.28,25.13,28.26
Cash Conversion Cycle,100.51,98.62,104.35,92.77,81.78,77.87,79.51,82.30,80.51,98.69
Inventory to Cash Days,-41.36,-41.93,-50.73,-38.75,-26.79,-23.55,-25.26,-24.56,-26.20,-43.60
Inventories,133,160,189,158,164,173,195,210,269,368
Raw Materials,24,27,31,28,33,32,41,46,60,93
Work In Process,14,17,19,15,18,17,20,20,26,28
Finished Goods,95,117,139,115,114,124,134,144,182,247
Other Inventory,0,0,0,0,0,0,0,0,0,0
