,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,869,1291,1091,1272,1336,1997,1881,1855,2540,3479
ST Debt,29,304,75,224,154,1107,45,511,71,1248
LT Debt,839,987,1016,1048,1182,890,1836,1344,2469,2231
Total Debt/EBITDA,2.47,2.32,1.46,1.77,1.75,1.88,1.60,2.42,19.84,4.65
Net Debt/EBITDA,0.45,1.18,0.43,0.44,-0.04,0.80,-0.77,-0.82,3.62,0.97
Total Debt/EBIT,3.42,2.91,1.75,2.20,2.20,2.26,1.91,3.20,-20.65,9.83
Net Debt/EBIT,0.62,1.48,0.52,0.54,-0.05,0.97,-0.91,-1.08,-3.76,2.05
EBITDA to Interest Expense,8.87,13.32,17.79,21.70,20.59,18.63,22.56,15.65,2.10,28.77
EBITDA-CapEx/Interest Expense,6.59,9.91,14.39,13.52,12.16,13.44,18.54,11.80,-1.31,10.85
EBIT to Interest Expense,6.40,10.63,14.79,17.45,16.38,15.49,18.94,11.84,-2.02,13.62
Interest Expense,40,42,42,33,37,57,52,49,61,26
Common Equity/Total Assets,6.94,16.87,27.78,34.75,42.95,44.33,55.62,62.29,36.06,9.34
Long-Term Debt/Equity (%),54.74,67.46,54.94,46.15,41.56,23.15,39.80,28.63,22.99,33.81
Long-Term Debt/Capital (%),77.84,53.22,48.02,37.00,32.89,17.22,30.86,20.43,30.76,48.26
Long-Term Debt/Total Assets (%),27.80,29.57,27.54,24.48,22.48,12.79,25.10,17.72,16.23,18.21
Total Debt/Equity (%),56.65,88.26,59.00,56.02,46.98,51.94,40.78,39.52,23.65,52.72
Total Debt/Capital (%),80.56,69.63,51.56,44.91,37.17,38.63,31.61,28.19,31.64,75.25
Total Debt/Total Assets (%),28.77,38.68,29.57,29.71,25.41,28.70,25.71,24.46,16.69,28.40
Net Debt to Equity,10.24,44.77,17.41,13.85,-1.16,22.18,-19.53,-13.34,4.31,10.97
Net Debt/Capital (%),42.82,53.77,23.90,15.00,-1.39,21.19,-23.06,-13.12,6.81,27.72
EBITDA,352,556,750,720,762,1062,1173,767,128,748
EBITDA-CapEx,261,414,606,449,450,766,964,578,-80,282
Operating Income (Loss),254,443,623,579,606,883,985,580,-123,354
