,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,110.00,71.46,59.95,40.62,43.94,53.07,48.14,81.59,75.64,0
Price/Earnings Average,72.61,63.10,60.24,48.08,37.36,50.99,45.44,72.86,83.49,-9.12
Price/Earnings High,114.79,75.72,76.05,59.73,46.40,66.31,55.86,90.58,109.40,-15.26
Price/Earnings Low,47.91,40.97,40.79,37.87,25.77,36.93,38.63,44.10,67.13,-6.18
Price/Book Value,67.15,47.52,27.33,12.59,14.22,14.21,11.85,11.25,10.99,27.93
Price/Book Value Average,44.33,41.96,27.46,14.90,12.09,13.65,11.19,10.05,12.14,35.35
Price/Book Value High,70.07,50.35,34.67,18.50,15.02,17.75,13.76,12.49,15.90,59.11
Price/Book Value Low,29.25,27.24,18.60,11.73,8.34,9.89,9.51,6.08,9.76,23.96
Price/Tangible Book Value,29.39,63.20,34.06,14.96,16.92,15.50,13.24,14.54,160.02,425.97
Price/Tangible Book Value Average,19.40,55.80,34.22,17.70,14.39,14.89,12.49,12.99,176.63,539.19
Price/Tangible Book Value High,30.67,66.95,43.20,21.99,17.87,19.36,15.36,16.15,231.45,901.65
Price/Tangible Book Value Low,12.80,36.23,23.17,13.94,9.93,10.78,10.62,7.86,142.02,365.40
Price/Sales,9.70,13.57,12.47,7.84,11.59,13.15,13.61,16.52,12.73,6.93
Price/Sales Average,6.40,11.98,12.53,9.27,9.86,12.64,12.85,14.76,14.06,8.77
Price/Sales High,10.12,14.37,15.81,11.52,12.24,16.43,15.80,18.34,18.42,14.66
Price/Sales Low,4.22,7.78,8.48,7.31,6.80,9.15,10.92,8.93,11.30,5.94
Price/Cash Flow,35.67,50.38,41.95,27.35,36.46,38.39,45.90,49.56,105.75,80.98
Price/Cash Flow Average,23.55,44.48,42.15,32.37,31.00,36.88,43.32,44.25,116.73,102.51
Price/Cash Flow High,37.22,53.37,53.22,40.21,38.50,47.96,53.26,55.02,152.96,171.42
Price/Cash Flow Low,15.54,28.88,28.54,25.50,21.38,26.71,36.83,26.78,93.86,69.47
Price/Free Cash Flow,32.33,43.13,35.46,19.77,27.24,30.90,38.80,42.46,77.05,37.00
Price/Free Cash Flow Average,21.34,38.08,35.63,23.40,23.16,29.69,36.63,37.92,85.05,46.83
Price/Free Cash Flow High,33.74,45.69,44.98,29.06,28.77,38.61,45.03,47.14,111.45,78.32
Price/Free Cash Flow Low,14.08,24.72,24.13,18.43,15.98,21.50,31.14,22.95,68.39,31.74
EV/Sales,9.69,14.35,12.48,7.72,11.38,12.72,13.18,15.91,13.59,7.28
EV/Sales Average,6.65,13.04,12.82,9.49,9.96,12.92,12.80,14.67,15.00,9.14
EV/Sales High,10.45,15.58,16.15,11.73,12.36,16.72,15.75,18.23,19.57,15.07
EV/Sales Low,4.42,8.59,8.73,7.53,6.89,9.43,10.88,8.88,12.12,6.30
EV/EBITDA,39.14,48.04,36.97,25.70,41.09,39.94,39.82,67.20,480.68,44.64
EV/EBITDA Average,26.84,43.67,37.97,31.62,35.99,40.54,38.68,61.95,530.44,56.03
EV/EBITDA High,42.17,52.17,47.83,39.07,44.65,52.46,47.58,77.00,691.91,92.37
EV/EBITDA Low,17.86,28.77,25.85,25.09,24.87,29.61,32.86,37.52,428.51,38.60
EV/EBIT,54.22,60.24,44.47,31.96,51.67,48.03,47.41,88.86,0,94.32
EV/EBIT Average,37.18,54.76,45.68,39.31,45.25,48.76,46.06,81.92,-552.01,118.38
EV/EBIT High,58.42,65.41,57.53,48.58,56.15,63.10,56.66,101.82,-720.03,195.18
EV/EBIT Low,24.74,36.07,31.10,31.19,31.27,35.61,39.13,49.61,-445.93,81.56
Last Price,110.20,186.29,191.07,128.04,218.49,298.23,328.14,364.09,384.24,202.20
High Price,115.00,197.37,242.37,188.25,230.72,372.61,380.76,404.20,555.77,428.00
Low Price,48.00,106.79,130.00,119.37,128.16,207.51,263.30,196.78,341.03,173.45
Enterprise Value,13778,26709,27712,18505,31309,42412,46704,51540,61527,33390
Enterprise Value Average,9449,24280,28462,22764,27421,43056,45367,47515,67897,41907
Enterprise Value High,14845,29003,35849,28132,34027,55714,55811,59058,88564,69092
Enterprise Value Low,6288,15993,19378,18062,18951,31444,38544,28775,54850,28873
