,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,355,511,754,1106,1536,1882,2159,2667,2986,3395
+ Sales & Services Revenue,355,511,754,1106,1536,1882,2159,2667,2986,3395
- Cost of Revenue,1,3,27,58,79,94,114,131,151,207
+ Cost of Goods & Services,1,3,27,58,79,94,114,131,151,207
Gross Profit,354,508,727,1048,1457,1788,2045,2535,2835,3188
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,370,513,676,885,1693,1632,1623,2776,2235,2596
"+ Selling, General & Admin",110,166,197,303,366,434,469,517,740,1002
+ Research & Development,260,348,480,582,1326,1198,1154,2216,1458,1586
+ Other Operating Expense,0,0,0,0,0,0,0,43,37,8
Operating Income (Loss),-16,-5,51,162,-236,155,422,-240,601,592
- Non-Operating (Income) Loss,67,44,43,55,76,40,-65,-8,30,62
"+ Interest Expense, Net",37,43,39,34,-11,2,2,2,2,3
+ Interest Expense,39,47,46,39,7,2,2,2,2,3
- Interest Income,1,3,7,4,18,0,0,0,0,0
+ Other Non-Op (Income) Loss,29,0,5,21,87,39,-67,-10,28,60
Pretax Income,-83,-49,8,107,-312,115,487,-232,570,529
- Income Tax Expense (Benefit),0,0,1,3,1,6,40,63,-378,188
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-83,-48,7,104,-313,109,447,-296,949,341
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,-83,-48,7,104,-313,109,447,-296,949,341
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",-83,-48,7,104,-313,109,447,-296,949,341
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-83,-48,7,104,-313,109,447,-296,949,341
Basic Weighted Avg Shares,148,168,180,188,205,212,215,218,220,222
"Basic EPS, GAAP",-0.56,-0.29,0.04,0.55,-1.53,0.52,2.08,-1.36,4.30,1.53
Basic EPS from Cont Ops,-0.56,-0.29,0.04,0.55,-1.53,0.52,2.08,-1.36,4.30,1.53
Diluted Weighted Avg Shares,148,168,187,194,205,216,218,218,222,224
"Diluted EPS, GAAP",-0.56,-0.29,0.03,0.54,-1.53,0.51,2.05,-1.36,4.27,1.52
Diluted EPS from Cont Ops,-0.56,-0.29,0.03,0.54,-1.53,0.51,2.05,-1.36,4.27,1.52
EBITDA,13,37,96,221,-184,210,476,-188,658,659
EBITDA Margin (%),3.69,7.16,12.67,19.97,-11.97,11.18,22.06,-7.07,22.05,19.43
EBITA,-16,-5,51,162,-236,155,422,-240,601,592
EBIT,-16,-5,51,162,-236,155,422,-240,601,592
Gross Margin (%),99.82,99.41,96.42,94.74,94.83,95.00,94.71,95.08,94.94,93.90
Operating Margin (%),-4.54,-0.94,6.72,14.69,-15.36,8.26,19.53,-9.01,20.11,17.43
Profit Margin (%),-23.43,-9.48,0.87,9.43,-20.38,5.82,20.70,-11.09,31.76,10.04
Sales per Employee,737936,869889,1089236,1128285,1271702,1376652,1482664,1504062,1426106,1460686
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Depreciation Expense,29,41,45,58,52,55,55,52,58,68
