,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,18971,23733,29365,28619,34679,52416,72752,79553,144806,128609
- Cash & Cash Equivalents,1009,849,808,638,529,1464,2116,6442,2562,2796
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,499,499,500,1000,488,438,436,3590,2480,7456
Enterprise Value,17809,22318,28168,28539,34390,51138,70448,76093,143416,132784
Total Capital,5764,6451,6530,7690,7788,8542,10060,14478,14779,21040
Total Debt/Capital (%),8.66,7.74,7.66,13.00,6.27,5.13,4.33,24.80,16.78,35.44
Total Debt / EV,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.05,0.02,0.06
EV/Sales,4.27,4.95,6.72,6.08,6.64,8.57,10.38,9.91,14.89,10.43
EV/EBITDA,12.16,14.93,25.22,19.28,21.09,29.22,33.89,31.78,50.09,40.03
EV/EBIT,14.44,17.19,31.79,22.98,24.65,34.16,38.00,34.97,57.37,51.65
EV/Cash Flow to Firm,12.85,15.14,18.54,20.00,21.21,24.03,30.15,31.37,43.81,33.58
EV/Free Cash Flow to Firm,11.16,13.26,15.82,14.64,18.58,22.71,28.28,29.69,42.20,31.74
Diluted Market Cap,19192,24237,30242,29412,35402,52899,73820,80240,144682,129552
Diluted Enterprise Value,18682,23887,29934,29774,35361,51873,72140,77388,144600,134212
EV per Share,59.46,78.32,101.43,110.68,134.51,197.74,270.76,290.72,524.88,470.98
TTM Sales,4171,4506,4192,4694,5177,5964,6784,7679,9633,12726
TTM EBITDA,1465,1495,1117,1480,1631,1750,2079,2394,2863,3317
TTM Operating Income,1233,1298,886,1242,1395,1497,1854,2176,2500,2571
TTM Cash Flow to Firm,1386,1474,1520,1427,1621,2128,2336,2426,3273,3955
TTM Free Cash Flow to Firm,1595,1683,1781,1949,1851,2252,2491,2563,3398,4184
