,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,1.30,1.33,0.97,0.48,0.40,0.81,1.39,2.00,1.46,0.90
Current Ratio,1.87,1.83,1.47,0.72,0.73,1.14,1.83,2.26,1.94,1.39
Quick Ratio,1.45,1.45,1.07,0.54,0.49,0.88,1.47,2.04,1.65,1.19
CFO/Avg Current Liab,1.07,1.07,0.95,0.70,0.76,1.04,1.14,0.88,1.05,1.24
Common Equity/Total Assets,95.97,114.31,121.38,157.41,179.45,156.51,153.18,99.61,79.27,48.98
Long-Term Debt/Equity (%),14.13,16.26,21.44,42.03,32.35,16.48,10.30,44.10,24.46,42.31
Long-Term Debt/Capital (%),8.66,7.74,7.66,6.35,5.62,4.54,3.84,15.55,16.33,33.07
Long-Term Debt/Total Assets (%),9.10,9.58,10.06,11.48,10.77,7.49,6.14,20.60,15.56,25.08
Total Debt/Equity (%),14.13,16.26,21.44,86.13,36.04,18.61,11.63,70.31,25.13,45.35
Total Debt/Capital (%),8.66,7.74,7.66,13.00,6.27,5.13,4.33,24.80,16.78,35.44
Total Debt/Total Assets (%),9.10,9.58,10.06,23.53,12.00,8.46,6.94,32.84,15.98,26.88
CFO/Total Liabilities,69.87,67.98,57.06,45.35,58.92,74.79,91.71,41.44,57.55,34.44
CFO/CapEx,6.54,6.96,5.76,2.68,6.95,17.03,14.99,17.62,26.00,16.98
Altman's Z-Score,9.96,12.16,11.26,11.51,14.70,17.58,23.42,12.03,21.11,12.88
