,2019,2020,2021,2022
Total Debt,10630,8032,7999,7769
ST Debt,2162,0,0,0
LT Debt,8467,8032,7999,7769
Total Debt/EBITDA,11.09,7.87,7.00,6.02
Net Debt/EBITDA,10.99,7.66,6.46,5.82
Total Debt/EBIT,25.01,17.17,14.52,11.92
Net Debt/EBIT,24.79,16.71,13.41,11.52
EBITDA to Interest Expense,2.61,2.88,3.54,4.24
EBITDA-CapEx/Interest Expense,2.16,2.40,3.04,3.56
EBIT to Interest Expense,1.16,1.32,1.71,2.14
Interest Expense,367,354,323,304
Common Equity/Total Assets,-2.98,-3.74,-4.26,-5.10
Long-Term Debt/Equity (%),102.44,93.87,81.30,75.26
Long-Term Debt/Capital (%),83.32,108.14,110.31,113.31
Long-Term Debt/Total Assets (%),48.68,45.88,43.15,41.91
Total Debt/Equity (%),128.60,93.87,81.30,75.26
Total Debt/Capital (%),104.60,108.14,110.31,113.31
Total Debt/Total Assets (%),61.12,45.88,43.15,41.91
Net Debt to Equity,127.48,91.37,75.10,72.71
Net Debt/Capital (%),104.64,108.38,111.26,113.84
EBITDA,959,1020,1143,1290
EBITDA-CapEx,795,848,980,1082
Operating Income (Loss),425,468,551,652
