,2019,2020,2021,2022
Shares Outstanding,542,567,601,611
Diluted Weighted Avg Shares,532,555,579,611
Basic Weighted Avg Shares,531,554,578,610
Revenue per Share,3.32,3.29,3.46,3.67
EBITDA per Share,1.80,1.84,1.98,2.12
Operating Income per Share,0.80,0.84,0.95,1.07
"Basic EPS, GAAP",0.27,0.35,0.45,0.63
Basic EPS from Cont Ops,0.28,0.36,0.45,0.63
"Diluted EPS, GAAP",0.27,0.35,0.45,0.63
Diluted EPS from Cont Ops,0.28,0.36,0.45,0.63
Dividend per Share,0.52,0.60,0.68,0.88
Cash Flow per Share,1.25,1.26,1.57,1.68
Free Cash Flow per Basic Share,0.94,0.95,1.29,1.34
Cash & Equivalents per Share,0.17,0.38,1.02,0.43
Book Value per Share,-0.96,-1.16,-1.31,-1.55
Tangible Book Value per Share,14.78,14.63,15.94,16.46
