,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,1.12,1.45,2.07
Return on Capital (%),0,6.24,7.94,9.72
Return on Invested Capital (%),0,2.64,3.20,3.63
Gross Margin (%),58.54,59.45,61.05,60.94
EBITDA Margin (%),54.33,55.98,57.25,57.63
Operating Margin (%),24.09,25.67,27.59,29.12
Incremental Operating Margin (%),0,73.52,47.80,41.73
Pretax Margin (%),8.34,10.83,13.16,17.19
Profit Margin (%),8.24,10.76,13.09,17.13
Net Income to Common Margin (%),8.24,10.76,13.09,17.13
Effective Tax Rate (%),0,0,0,0
Dvd Payout Ratio (%),185.99,167.17,149.10,139.55
Sustainable Growth Rate (%),0,0,0,0
