,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,14.53,39.50,16.08,22.84,10.57,7.68,14.03,38.33,10.38,8.37
Price/Earnings Average,13.56,35.25,20.23,18.76,9.97,10.09,13.44,30.35,11.72,10.14
Price/Earnings High,14.92,40.60,24.37,23.54,10.76,12.91,14.74,40.14,13.74,12.14
Price/Earnings Low,11.70,31.78,15.47,13.99,9.05,7.24,11.14,20.37,9.75,7.42
Price/Book Value,2.46,4.22,3.80,4.76,3.47,2.05,2.21,2.35,1.95,1.18
Price/Book Value Average,2.30,3.76,4.79,3.91,3.28,2.70,2.12,1.86,2.20,1.43
Price/Book Value High,2.53,4.34,5.76,4.91,3.53,3.45,2.32,2.46,2.58,1.71
Price/Book Value Low,1.98,3.39,3.66,2.92,2.97,1.93,1.75,1.25,1.83,1.04
Price/Tangible Book Value,4.65,14.48,24.40,20.77,7.24,3.77,3.90,4.06,2.97,2.22
Price/Tangible Book Value Average,4.34,12.92,30.71,17.06,6.82,4.95,3.74,3.21,3.35,2.69
Price/Tangible Book Value High,4.77,14.88,36.98,21.40,7.37,6.33,4.10,4.25,3.93,3.22
Price/Tangible Book Value Low,3.74,11.65,23.48,12.72,6.20,3.55,3.10,2.16,2.79,1.97
Price/Sales,0.70,0.93,0.67,0.98,1.04,0.66,0.77,0.90,0.94,0.59
Price/Sales Average,0.65,0.83,0.85,0.80,0.98,0.87,0.74,0.71,1.06,0.72
Price/Sales High,0.72,0.95,1.02,1.01,1.06,1.11,0.81,0.94,1.24,0.86
Price/Sales Low,0.56,0.75,0.65,0.60,0.89,0.63,0.61,0.48,0.88,0.53
Price/Cash Flow,6.69,7.12,5.85,8.33,12.90,4.79,4.76,6.03,8.95,5.79
Price/Cash Flow Average,6.25,6.36,7.36,6.85,12.16,6.29,4.56,4.78,10.12,7.01
Price/Cash Flow High,6.87,7.32,8.86,8.59,13.13,8.05,5.00,6.32,11.86,8.40
Price/Cash Flow Low,5.39,5.73,5.62,5.10,11.04,4.52,3.78,3.21,8.42,5.13
Price/Free Cash Flow,4.85,4.99,3.74,5.46,7.28,3.25,3.55,4.88,7.10,4.09
Price/Free Cash Flow Average,4.53,4.46,4.71,4.48,6.86,4.28,3.40,3.86,8.02,4.96
Price/Free Cash Flow High,4.98,5.13,5.67,5.62,7.41,5.47,3.73,5.11,9.40,5.94
Price/Free Cash Flow Low,3.91,4.02,3.60,3.34,6.23,3.07,2.82,2.59,6.67,3.63
EV/Sales,1.03,1.32,1.32,1.77,1.80,1.35,1.47,1.35,1.13,0.81
EV/Sales Average,0.98,1.23,1.49,1.59,1.74,1.55,1.44,1.40,1.26,0.93
EV/Sales High,1.05,1.35,1.66,1.80,1.82,1.79,1.51,1.63,1.44,1.07
EV/Sales Low,0.89,1.15,1.29,1.39,1.65,1.31,1.31,1.16,1.09,0.75
EV/EBITDA,8.00,8.06,8.02,13.17,11.97,7.34,8.82,9.37,8.20,6.15
EV/EBITDA Average,7.64,7.47,9.06,11.87,11.57,8.45,8.63,9.70,9.15,7.07
EV/EBITDA High,8.14,8.22,10.11,13.40,12.09,9.74,9.05,11.30,10.43,8.11
EV/EBITDA Low,6.96,6.98,7.86,10.34,10.97,7.14,7.88,8.08,7.89,5.66
EV/EBIT,13.65,12.69,12.37,23.28,21.21,10.63,13.57,16.55,14.97,9.80
EV/EBIT Average,13.04,11.75,13.98,20.97,20.50,12.23,13.28,17.15,16.70,11.26
EV/EBIT High,13.90,12.94,15.59,23.67,21.42,14.10,13.93,19.96,19.04,12.92
EV/EBIT Low,11.88,10.98,12.13,18.27,19.44,10.34,12.12,14.28,14.41,9.01
Last Price,45.76,51.34,36.17,50.25,54.87,37.70,43.47,47.01,46.68,34.63
High Price,47.00,52.77,54.83,51.78,55.83,63.39,45.68,49.23,61.81,50.23
Low Price,36.86,41.32,34.81,30.78,46.97,35.56,34.52,24.98,43.87,30.69
Enterprise Value,29875,31263,29486,37246,39105,31486,32911,27768,21943,17189
Enterprise Value Average,28541,28945,33340,33559,37811,36234,32200,28774,24480,19749
Enterprise Value High,30417,31864,37175,37877,39504,41777,33780,33492,27915,22654
Enterprise Value Low,25992,27049,28924,29239,35844,30628,29402,23959,21125,15809
