,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,7122,7537,7614,7847,7882,9714,10221,9061,10241,10928
+ Sales & Services Revenue,7122,7537,7614,7847,7882,9714,10221,9061,10241,10928
- Cost of Revenue,4546,4820,4858,5038,5068,8336,8729,7709,8388,9083
+ Cost of Goods & Services,4546,4820,4858,5038,5068,8336,8729,7709,8388,9083
Gross Profit,2577,2717,2756,2809,2814,1378,1492,1352,1853,1845
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1918,1928,1884,1871,1841,369,372,349,406,361
"+ Selling, General & Admin",1918,1928,1884,1871,1841,167,94,59,122,87
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,203,279,291,284,274
Operating Income (Loss),659,789,872,938,974,1009,1120,1002,1447,1484
- Non-Operating (Income) Loss,191,68,110,108,98,171,242,641,225,215
"+ Interest Expense, Net",98,58,63,71,71,101,165,163,143,111
+ Interest Expense,123,85,86,91,91,123,199,192,173,175
- Interest Income,25,27,23,20,19,22,35,30,30,63
+ Other Non-Op (Income) Loss,93,10,47,37,26,70,77,478,81,103
Pretax Income,468,721,762,830,876,838,878,361,1222,1269
- Income Tax Expense (Benefit),181,217,283,198,282,199,205,8,252,318
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,289,505,481,633,595,638,674,354,973,956
- Net Extraordinary Losses (Gains),42,57,52,48,32,38,36,6,40,36
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,42,57,52,48,32,38,36,6,40,36
Income (Loss) Incl. MI,247,449,429,585,563,600,638,348,933,920
- Minority Interest,-21,-28,-26,-24,-16,-19,-18,-3,-20,-18
"Net Income, GAAP",268,477,455,609,579,619,656,351,953,938
- Preferred Dividends,9,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",259,477,455,609,579,619,656,351,953,938
Basic Weighted Avg Shares,421,419,408,398,390,383,386,389,393,392
"Basic EPS, GAAP",0.62,1.14,1.11,1.53,1.49,1.61,1.70,0.90,2.42,2.40
Basic EPS from Cont Ops,0.69,1.21,1.18,1.59,1.53,1.66,1.75,0.91,2.48,2.44
Diluted Weighted Avg Shares,430,425,416,408,397,389,391,393,398,395
"Diluted EPS, GAAP",0.60,1.12,1.09,1.49,1.46,1.59,1.68,0.89,2.39,2.37
Diluted EPS from Cont Ops,0.67,1.19,1.16,1.55,1.50,1.64,1.72,0.90,2.44,2.42
EBITDA,816,952,1029,1098,1131,1212,1398,1293,1731,1758
EBITDA Margin (%),11.46,12.63,13.51,14.00,14.34,12.47,13.68,14.27,16.90,16.08
EBITA,659,789,872,938,974,1009,1120,1002,1447,1484
EBIT,659,789,872,938,974,1009,1120,1002,1447,1484
Gross Margin (%),36.18,36.04,36.20,35.79,35.70,14.19,14.60,14.92,18.09,16.88
Operating Margin (%),9.25,10.46,11.45,11.95,12.35,10.38,10.96,11.06,14.13,13.58
Profit Margin (%),3.76,6.33,5.97,7.75,7.35,6.37,6.42,3.87,9.30,8.58
Sales per Employee,156879,159011,154752,157562,157020,179896,188238,180498,184185,187120
Dividend per Share,0.33,0.38,0.48,0.60,0.72,0.84,0.94,1.02,1.09,1.17
Depreciation Expense,157,163,157,160,157,203,279,291,284,274
