,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1663,1733,1762,1690,1373,3734,5023,5176,4799,4532
ST Debt,533,109,152,410,87,74,822,819,314,281
LT Debt,1130,1624,1610,1281,1286,3660,4202,4357,4485,4251
Total Debt/EBITDA,2.04,1.82,1.71,1.54,1.21,3.08,3.59,4.00,2.77,2.58
Net Debt/EBITDA,0.03,0.08,0.25,0.54,0.51,2.53,1.53,0.74,-0.18,0.21
Total Debt/EBIT,2.52,2.20,2.02,1.80,1.41,3.70,4.49,5.16,3.32,3.05
Net Debt/EBIT,0.04,0.09,0.30,0.63,0.60,3.03,1.91,0.96,-0.22,0.25
EBITDA to Interest Expense,6.65,11.21,11.99,12.12,12.45,9.85,7.02,6.73,10.00,10.06
EBITDA-CapEx/Interest Expense,5.24,9.46,10.11,9.91,10.74,8.41,6.02,5.85,8.87,9.04
EBIT to Interest Expense,5.37,9.29,10.16,10.35,10.72,8.20,5.62,5.21,8.36,8.49
Interest Expense,123,85,86,91,91,123,199,192,173,175
Common Equity/Total Assets,7.11,9.61,11.74,14.77,16.80,15.61,15.37,14.83,16.04,19.48
Long-Term Debt/Equity (%),45.19,67.40,71.45,55.45,51.67,140.74,140.50,143.46,124.41,113.53
Long-Term Debt/Capital (%),39.44,49.96,45.64,33.47,33.91,57.37,52.74,54.50,55.56,51.22
Long-Term Debt/Total Assets (%),8.75,12.74,12.80,10.26,10.13,23.43,23.67,24.15,22.53,22.56
Total Debt/Equity (%),66.50,71.94,78.20,73.19,55.17,143.58,167.98,170.42,133.12,121.03
Total Debt/Capital (%),58.03,53.32,49.94,44.17,36.20,58.53,63.06,64.75,59.45,54.60
Total Debt/Total Assets (%),12.88,13.59,14.00,13.54,10.81,23.90,28.30,28.69,24.10,24.05
Net Debt to Equity,1.03,3.00,11.51,25.66,23.38,117.68,71.37,31.52,-8.69,9.89
Net Debt/Capital (%),2.09,4.54,12.81,21.72,19.38,53.63,31.50,17.45,-6.52,6.44
EBITDA,816,952,1029,1098,1131,1212,1398,1293,1731,1758
EBITDA-CapEx,643,803,868,898,975,1035,1200,1125,1535,1580
Operating Income (Loss),659,789,872,938,974,1009,1120,1002,1447,1484
