,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),30.41,44.55,33.64,36.64,29.13,27.08,25.39,12.99,32.47,27.33
Return on Assets (%),2.03,3.72,3.59,4.85,4.60,4.37,3.93,1.96,5.02,4.84
Return on Capital (%),9.78,16.62,14.24,17.77,16.40,13.64,11.03,6.72,13.32,12.84
Return on Invested Capital (%),8.69,13.29,13.45,17.82,16.89,15.21,12.00,12.11,13.89,13.33
Gross Margin (%),36.18,36.04,36.20,35.79,35.70,14.19,14.60,14.92,18.09,16.88
EBITDA Margin (%),11.46,12.63,13.51,14.00,14.34,12.47,13.68,14.27,16.90,16.08
Operating Margin (%),9.25,10.46,11.45,11.95,12.35,10.38,10.96,11.06,14.13,13.58
Incremental Operating Margin (%),-11.68,31.27,108.60,28.39,99.44,1.92,21.92,10.14,37.69,5.36
Pretax Margin (%),6.57,9.56,10.01,10.58,11.11,8.63,8.59,3.99,11.93,11.61
Profit Margin (%),3.76,6.33,5.97,7.75,7.35,6.37,6.42,3.87,9.30,8.58
Net Income to Common Margin (%),3.64,6.33,5.97,7.75,7.35,6.37,6.42,3.87,9.30,8.58
Effective Tax Rate (%),38.72,30.04,37.10,23.85,32.18,23.77,23.32,2.21,20.60,25.09
Dvd Payout Ratio (%),42.80,29.79,38.61,36.31,45.88,49.06,52.49,111.42,43.08,46.94
Sustainable Growth Rate (%),17.40,31.28,20.65,23.33,15.76,13.79,12.06,-1.48,18.48,14.50
