,2019,2020,2021,2022
Total Debt,10393,10748,11443,13287
ST Debt,389,194,309,376
LT Debt,10004,10554,11134,12911
Total Debt/EBITDA,7.23,7.37,7.16,7.41
Net Debt/EBITDA,5.89,5.83,5.64,5.82
Total Debt/EBIT,13.33,13.63,12.70,12.70
Net Debt/EBIT,10.87,10.78,10.00,9.97
EBITDA to Interest Expense,3.43,3.48,3.82,3.67
EBITDA-CapEx/Interest Expense,1.51,2.37,2.30,1.84
EBIT to Interest Expense,1.86,1.88,2.16,2.14
Interest Expense,419,419,418,488
Common Equity/Total Assets,-18.62,-20.83,-22.27,-21.00
Long-Term Debt/Equity (%),683.24,928.47,1299.08,2027.44
Long-Term Debt/Capital (%),127.91,135.30,135.35,130.44
Long-Term Debt/Total Assets (%),72.41,74.59,77.05,79.99
Total Debt/Equity (%),709.81,945.51,1335.18,2086.53
Total Debt/Capital (%),132.88,137.79,139.11,134.24
Total Debt/Total Assets (%),75.22,75.96,79.19,82.32
Net Debt to Equity,578.53,747.61,1051.97,1637.45
Net Debt/Capital (%),111.05,111.89,113.12,106.88
EBITDA,1438,1458,1598,1792
EBITDA-CapEx,634,990,961,900
Operating Income (Loss),779,789,901,1046
