,2019,2020,2021,2022
Cash Ratio,0.10,0.10,0.13,0.07
Current Ratio,0.63,0.64,0.71,0.81
Quick Ratio,0.54,0.53,0.60,0.69
CFO/Avg Current Liab,0,0.50,0.38,0.47
Common Equity/Total Assets,-18.62,-20.83,-22.27,-21.00
Long-Term Debt/Equity (%),683.24,928.47,1299.08,2027.44
Long-Term Debt/Capital (%),127.91,135.30,135.35,130.44
Long-Term Debt/Total Assets (%),72.41,74.59,77.05,79.99
Total Debt/Equity (%),709.81,945.51,1335.18,2086.53
Total Debt/Capital (%),132.88,137.79,139.11,134.24
Total Debt/Total Assets (%),75.22,75.96,79.19,82.32
CFO/Total Liabilities,7.83,7.59,5.58,5.98
CFO/CapEx,1.20,2.11,1.19,1.04
Altman's Z-Score,0.74,0.60,0.93,0.90
