,2019,2020,2021,2022
Shares Outstanding,287,288,290,291
Diluted Weighted Avg Shares,288,289,291,292
Basic Weighted Avg Shares,287,288,289,291
Revenue per Share,14.85,14.39,15.52,17.55
EBITDA per Share,5.01,5.06,5.52,6.16
Operating Income per Share,2.72,2.74,3.11,3.60
"Basic EPS, GAAP",0.93,1.19,1.56,1.92
Basic EPS from Cont Ops,0.93,1.19,1.56,1.93
"Diluted EPS, GAAP",0.93,1.19,1.55,1.90
Diluted EPS from Cont Ops,0.93,1.19,1.56,1.92
Dividend per Share,2.46,2.49,2.48,2.49
Cash Flow per Share,3.37,3.43,2.62,3.19
Free Cash Flow per Basic Share,0.57,1.80,0.42,0.12
Cash & Equivalents per Share,0.67,0.71,0.88,0.49
Book Value per Share,-8.95,-10.22,-11.11,-11.65
Tangible Book Value per Share,-15.36,-16.47,-16.52,-19.49
