,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,2.45,3.15,3.64
Return on Capital (%),0,9.31,9.34,10.88
Return on Invested Capital (%),0,6.08,5.36,7.13
Gross Margin (%),56.99,57.63,57.98,57.11
EBITDA Margin (%),33.73,35.16,35.58,35.11
Operating Margin (%),18.28,19.02,20.07,20.50
Incremental Operating Margin (%),0,-8.01,32.73,23.68
Pretax Margin (%),7.70,8.99,14.00,12.38
Profit Margin (%),6.27,8.26,10.02,10.91
Net Income to Common Margin (%),6.27,8.26,10.02,10.91
Effective Tax Rate (%),18.26,7.94,28.03,11.00
Dvd Payout Ratio (%),261.76,208.53,157.80,127.69
Sustainable Growth Rate (%),0,0,0,0
