,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,5040,5494,9974,11735,16634,14223,21510,1820,2240,1434
"+ Cash, Cash Equivalents & STI",2023,2224,2534,2070,2518,1805,10512,10622,2147,1434
+ Cash & Cash Equivalents,1915,1918,2215,2070,2518,1805,1701,1710,2147,1434
+ ST Investments,109,306,319,0,0,0,8810,8912,0,0
+ Accounts & Notes Receiv,1492,1440,1268,1323,1548,906,163,109,93,1006
"+ Accounts Receivable, Net",559,707,702,650,754,715,1029,917,1318,1006
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",932,732,566,673,794,191,-866,-807,-1225,0
+ Inventories,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,1525,1830,6173,8341,12569,11512,10836,-8912,0,-1005
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,14231,14969,15099,14000,15034,16755,17910,34685,30446,28323
"+ Property, Plant & Equip, Net",351,403,427,465,491,469,584,564,518,561
"+ Property, Plant & Equip",900,980,1030,1106,1220,1274,1503,1570,1597,1691
- Accumulated Depreciation,549,577,603,641,729,805,919,1006,1079,1130
+ LT Investments & Receivables,5574,6648,7035,5911,6333,6827,8638,8912,10501,9732
+ LT Investments,5574,6648,7035,5911,6333,6827,8638,8912,10501,9732
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,8306,7918,7637,7624,8211,9459,8689,25209,19426,18030
+ Total Intangible Assets,8131,7826,7530,7529,8149,9333,15868,16222,16111,15699
+ Goodwill,6867,6579,6176,6129,6591,7157,15868,16222,16111,8558
+ Other Intangible Assets,1264,1247,1354,1399,1559,2176,0,0,0,7141
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,175,92,107,95,62,126,-7178,8987,3316,2331
Total Assets,19271,20463,25073,25734,31669,30978,39420,36504,32686,29757
+ Payables & Accruals,3061,3185,7477,9530,14006,12549,10990,7681,1985,669
+ Accounts Payable,763,757,863,274,320,284,415,349,313,60
+ Accrued Taxes,124,95,79,92,156,43,118,67,81,89
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,2174,2333,6535,9164,13531,12221,10457,7264,1592,520
+ ST Debt,36,0,0,0,0,0,0,0,0,0
+ ST Borrowings,36,0,0,0,0,0,0,0,0,0
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other ST Liabilities,641,667,661,654,696,647,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,641,667,661,654,696,647,0,0,0,0
Total Current Liabilities,3738,3853,8138,10184,14702,13195,10990,7681,1985,669
+ LT Debt,5770,6739,7510,6506,6876,7635,8315,8797,9421,8078
+ LT Borrowings,5770,6739,7510,6506,6876,7635,8315,8797,9421,8078
+ LT Finance Leases,0,0,0,0,0,0,365,319,290,480
+ Other LT Liabilities,785,751,730,1433,1135,1212,5414,5006,4600,4168
+ Accrued Liabilities,324,305,289,397,336,388,1575,1582,1626,1663
+ Pension Liabilities,0,0,0,0,0,0,196,148,121,88
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,462,446,441,1035,799,825,3643,3277,2853,2417
Total Noncurrent Liabilities,6556,7490,8240,7938,8011,8847,13729,13803,14021,12246
Total Liabilities,10293,11343,16378,18123,22713,22042,24719,21483,16007,12915
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,4011,4011,4011,4011
+ Share Capital & APIC,6199,6232,6296,6326,6380,6433,7974,7925,7801,7668
+ Common Stock,98,98,98,98,98,98,113,113,113,113
+ Additional Paid in Capital,6101,6134,6198,6227,6282,6335,7861,7811,7688,7555
- Treasury Stock,1700,1898,2404,2846,2782,3004,3453,3254,3044,3041
+ Retained Earnings,3466,3944,4440,4833,5489,5885,5918,6085,7169,7518
+ Other Equity,428,49,-446,-809,-391,-735,-587,-404,-441,-942
Equity Before Minority Interest,8393,8326,7885,7504,8696,8579,13863,14362,15496,15214
+ Minority/Non Controlling Interest,585,794,810,108,260,357,839,659,1183,1629
Total Equity,8977,9120,8696,7612,8956,8936,14702,15021,16679,16842
Total Liabilities & Equity,19271,20463,25073,25734,31669,30978,39420,36504,32686,29757
Shares Outstanding,433,430,418,404,407,397,453,459,461,455
Capital Leases - Total,0,0,0,0,0,0,365,319,290,480
Net Debt,3891,4821,5295,4435,4358,5829,6614,7087,7274,6644
Net Debt to Equity,43.34,52.86,60.89,58.27,48.66,65.23,44.99,47.18,43.61,39.45
Tangible Common Equity Ratio,8,10,7,0,3,-2,-22,-26,-21,-20
Current Ratio,1.35,1.43,1.23,1.15,1.13,1.08,1.96,0.24,1.13,2.14
Cash Conversion Cycle,-101.36,-154.08,-161.72,-98.43,-20.89,-23.37,-22.61,-19.31,-4.01,30.72
Number of Employees,5932,6264,6490,6790,7030,7459,8821,8512,8500,8611
