,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,5806,6739,7510,6506,6876,7635,8315,8797,9421,8078
ST Debt,36,0,0,0,0,0,0,0,0,0
LT Debt,5770,6739,7510,6506,6876,7635,8315,8797,9421,8078
Total Debt/EBITDA,4.79,4.93,5.17,5.09,4.93,5.15,5.01,5.80,4.89,5.27
Net Debt/EBITDA,3.21,3.53,3.65,3.47,3.13,3.93,3.99,4.67,3.77,4.33
Total Debt/EBIT,5.17,5.28,5.53,5.53,5.38,5.69,5.61,6.70,5.47,6.03
Net Debt/EBIT,3.46,3.78,3.90,3.77,3.41,4.34,4.47,5.39,4.22,4.96
EBITDA to Interest Expense,7.22,6.60,5.37,13.68,14.70,13.31,12.22,11.73,20.35,18.01
EBITDA-CapEx/Interest Expense,6.69,5.96,4.91,12.10,13.53,12.39,11.31,10.84,19.21,15.74
EBIT to Interest Expense,6.69,6.17,5.02,12.60,13.47,12.03,10.92,10.16,18.19,15.71
Interest Expense,168,207,271,93,95,112,136,129,95,85
Common Equity/Total Assets,18.50,19.75,18.10,19.16,17.64,19.31,15.30,16.98,22.28,25.65
Long-Term Debt/Equity (%),64.28,73.89,86.36,85.47,76.77,85.44,56.56,58.56,56.49,47.96
Long-Term Debt/Capital (%),57.96,58.22,58.41,56.35,54.04,54.63,43.32,44.73,43.02,37.84
Long-Term Debt/Total Assets (%),29.94,32.93,29.95,25.28,21.71,24.65,21.09,24.10,28.82,27.15
Total Debt/Equity (%),64.67,73.89,86.36,85.47,76.77,85.44,56.56,58.56,56.49,47.96
Total Debt/Capital (%),58.32,58.22,58.41,56.35,54.04,54.63,43.32,44.73,43.02,37.84
Total Debt/Total Assets (%),30.13,32.93,29.95,25.28,21.71,24.65,21.09,24.10,28.82,27.15
Net Debt to Equity,43.34,52.86,60.89,58.27,48.66,65.23,44.99,47.18,43.61,39.45
Net Debt/Capital (%),48.40,49.92,49.75,46.81,42.71,47.90,37.80,39.47,36.83,33.36
EBITDA,1212,1366,1452,1278,1394,1484,1659,1517,1928,1534
EBITDA-CapEx,1124,1233,1328,1130,1282,1381,1535,1402,1819,1341
Operating Income (Loss),1123,1277,1358,1176,1277,1342,1481,1314,1722,1339
