,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,11818,12695,12115,10964,10023,14985,12738,13567,14093,14923
+ Sales & Services Revenue,11818,12695,12115,10964,10023,14985,12738,13567,14093,14923
- Cost of Revenue,9976,10621,10146,9196,8251,12156,10261,10980,11049,11596
+ Cost of Goods & Services,9976,10621,10146,9196,8251,12156,10261,10980,11049,11596
Gross Profit,1842,2074,1968,1768,1772,2828,2477,2587,3044,3327
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1173,1546,1523,1429,1380,2180,2072,2051,2356,2409
"+ Selling, General & Admin",1173,1546,1523,1429,1380,2180,2072,2051,2356,2409
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),669,528,446,339,392,648,405,536,688,918
- Non-Operating (Income) Loss,7,-14,15,52,-1,93,54,95,-8,42
"+ Interest Expense, Net",8,2,12,7,3,68,74,57,69,96
+ Interest Expense,13,11,20,15,12,77,84,62,73,100
- Interest Income,5,10,7,8,9,9,9,5,4,4
+ Other Non-Op (Income) Loss,0,-16,3,44,-4,25,-20,37,-77,-54
Pretax Income,662,542,430,287,393,555,351,441,696,876
- Income Tax Expense (Benefit),221,190,101,72,106,367,37,55,275,161
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,440,352,329,215,287,188,314,386,421,715
- Net Extraordinary Losses (Gains),34,48,52,8,-13,19,-511,-74,-102,143
+ Discontinued Operations,0,0,0,0,124,168,557,138,10,0
+ Extraord. & Accounting Changes,34,48,52,8,-136,-148,-1068,-212,-112,143
Income (Loss) Incl. MI,406,304,277,206,300,169,825,460,523,573
- Minority Interest,-17,-24,-26,-4,6,-10,-23,-32,46,-71
"Net Income, GAAP",423,328,303,210,294,178,848,492,477,644
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",423,328,303,210,294,178,848,492,477,644
Basic Weighted Avg Shares,129,130,125,120,119,138,138,132,130,129
"Basic EPS, GAAP",3.27,2.51,2.42,1.75,2.46,1.30,6.15,3.74,3.66,5.01
Basic EPS from Cont Ops,3.40,2.70,2.63,1.79,2.41,1.37,2.28,2.93,3.23,5.56
Diluted Weighted Avg Shares,131,132,126,121,120,139,139,133,130,129
"Diluted EPS, GAAP",3.23,2.48,2.40,1.73,2.44,1.29,6.09,3.71,3.66,4.98
Diluted EPS from Cont Ops,3.36,2.66,2.61,1.77,2.39,1.36,2.26,2.91,3.23,5.53
EBITDA,768,673,595,469,515,847,574,718,939,1219
EBITDA Margin (%),6.50,5.31,4.91,4.27,5.14,5.65,4.51,5.29,6.66,8.17
EBITA,669,528,446,339,392,648,405,536,688,918
EBIT,669,528,446,339,392,648,405,536,688,918
Gross Margin (%),15.59,16.34,16.25,16.12,17.68,18.88,19.45,19.07,21.60,22.29
Operating Margin (%),5.66,4.16,3.68,3.09,3.91,4.32,3.18,3.95,4.88,6.15
Profit Margin (%),3.58,2.58,2.50,1.92,2.93,1.19,6.66,3.63,3.38,4.32
Sales per Employee,177720,191480,189294,199711,183232,185454,244959,246672,242976,235748
Dividend per Share,0,0,0,0.05,0.45,0.63,0.77,1.09,1.20,0.90
Depreciation Expense,99,145,149,130,123,199,169,182,251,301
