,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),13.05,9.25,8.33,5.74,7.78,4.57,21.10,11.96,11.50,15.16
Return on Assets (%),6.00,4.17,3.73,2.78,3.99,1.78,7.03,4.13,3.54,4.40
Return on Capital (%),11.01,7.42,6.65,5.16,7.44,3.76,15.34,8.37,7.35,7.33
Return on Invested Capital (%),9.73,6.77,6.57,5.19,6.03,3.39,4.70,5.96,4.36,6.96
Gross Margin (%),15.59,16.34,16.25,16.12,17.68,18.88,19.45,19.07,21.60,22.29
EBITDA Margin (%),6.50,5.31,4.91,4.27,5.14,5.65,4.51,5.29,6.66,8.17
Operating Margin (%),5.66,4.16,3.68,3.09,3.91,4.32,3.18,3.95,4.88,6.15
Incremental Operating Margin (%),7.89,-16.07,14.22,9.29,-5.70,5.15,10.82,15.81,28.94,27.68
Pretax Margin (%),5.60,4.27,3.55,2.62,3.92,3.70,2.76,3.25,4.94,5.87
Profit Margin (%),3.58,2.58,2.50,1.92,2.93,1.19,6.66,3.63,3.38,4.32
Net Income to Common Margin (%),3.58,2.58,2.50,1.92,2.93,1.19,6.66,3.63,3.38,4.32
Effective Tax Rate (%),33.46,35.05,23.54,25.18,26.92,66.08,10.53,12.54,39.50,18.36
Dvd Payout Ratio (%),0,0,0,2.68,19.30,43.75,31.57,34.45,41.63,14.74
Sustainable Growth Rate (%),13.05,9.25,8.33,5.59,6.28,2.57,14.44,7.84,6.71,12.92
