,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,708,934,1005,986,1086,1149,1296,1305,1301,1262
ST Debt,250,250,0,0,0,251,0,0,356,0
LT Debt,458,684,1005,986,1086,898,1296,1305,945,1262
Total Debt/EBITDA,0.85,1.01,0.95,0.91,1.08,1.03,1.05,1.05,0.81,0.64
Net Debt/EBITDA,0.85,1.00,0.95,0.91,1.06,1.02,1.02,0.80,0.59,0.61
Total Debt/EBIT,1.23,1.48,1.40,1.37,1.74,1.69,1.77,1.83,1.24,0.95
Net Debt/EBIT,1.22,1.47,1.40,1.36,1.72,1.68,1.72,1.39,0.90,0.91
EBITDA to Interest Expense,35.87,34.37,41.40,42.92,35.28,27.78,23.29,26.34,35.02,39.38
EBITDA-CapEx/Interest Expense,14.55,4.36,12.95,17.61,16.83,3.02,7.16,10.66,14.32,8.67
EBIT to Interest Expense,24.92,23.44,28.08,28.59,21.85,16.94,13.86,15.14,22.85,26.54
Interest Expense,23,27,25,25,29,40,53,47,46,50
Common Equity/Total Assets,80.74,75.29,79.40,84.11,87.52,82.29,83.98,83.84,82.80,82.99
Long-Term Debt/Equity (%),45.28,56.75,77.29,69.75,59.02,42.75,57.16,50.21,30.32,34.41
Long-Term Debt/Capital (%),15.36,19.58,25.82,23.44,22.20,16.83,22.00,20.75,13.65,16.41
Long-Term Debt/Total Assets (%),16.26,20.12,27.64,25.76,24.97,17.64,23.68,21.95,13.92,16.30
Total Debt/Equity (%),69.97,77.50,77.29,69.75,59.02,54.68,57.16,50.21,41.74,34.41
Total Debt/Capital (%),23.73,26.74,25.82,23.44,22.20,21.52,22.00,20.75,18.79,16.41
Total Debt/Total Assets (%),25.13,27.48,27.64,25.76,24.97,22.57,23.68,21.95,19.16,16.30
Net Debt to Equity,69.39,77.01,76.86,69.30,58.23,54.32,55.61,38.16,30.33,32.99
Net Debt/Capital (%),23.58,26.61,25.71,23.33,21.96,21.41,21.53,16.59,14.40,15.85
EBITDA,830,926,1055,1083,1007,1117,1233,1240,1603,1976
EBITDA-CapEx,337,117,330,444,480,121,379,502,655,435
Operating Income (Loss),577,632,716,721,624,681,734,713,1046,1332
