,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,9064,9872,8322,10804,12619,10135,12382,14310,21411,18089
- Cash & Cash Equivalents,6,6,6,6,15,8,35,313,356,52
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,708,934,1005,986,1086,1149,1296,1305,1301,1262
Enterprise Value,9767,10799,9321,11784,13690,11277,13643,15302,22356,19299
Total Capital,2985,3491,3893,4207,4891,5339,5890,6292,6924,7687
Total Debt/Capital (%),23.73,26.74,25.82,23.44,22.20,21.52,22.00,20.75,18.79,16.41
Total Debt / EV,0.07,0.09,0.11,0.08,0.08,0.10,0.09,0.09,0.06,0.07
EV/Sales,1.75,1.75,1.51,1.80,1.90,1.31,1.49,1.59,1.84,1.30
EV/EBITDA,11.77,11.66,8.83,10.89,13.59,10.10,11.07,12.34,13.95,9.77
EV/EBIT,16.93,17.10,13.02,16.34,21.95,16.56,18.59,21.46,21.38,14.49
EV/Cash Flow to Firm,16.59,16.28,10.48,13.55,15.42,10.08,11.98,13.21,17.76,10.63
EV/Free Cash Flow to Firm,9.03,7.34,5.77,7.81,9.68,5.33,6.85,8.07,10.13,5.75
Diluted Market Cap,9231,10030,8525,11004,12768,10295,12660,14460,21716,18356
Diluted Enterprise Value,9934,10958,9524,11984,13839,11437,13921,15453,22662,19566
EV per Share,83.30,92.64,81.80,105.87,124.74,103.73,128.45,144.83,212.73,186.02
TTM Sales,5585,6165,6188,6555,7190,8615,9165,9637,12168,14814
TTM EBITDA,830,926,1055,1083,1007,1117,1233,1240,1603,1976
TTM Operating Income,577,632,716,721,624,681,734,713,1046,1332
TTM Cash Flow to Firm,589,663,889,870,888,1119,1138,1159,1259,1815
TTM Free Cash Flow to Firm,1082,1472,1614,1508,1415,2114,1993,1897,2206,3356
