,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,15,9,53,0,50,0,0,1,100,115
ST Debt,8,5,3,0,0,0,0,0,0,0
LT Debt,7,4,50,0,50,0,0,0,100,115
Total Debt/EBITDA,0.04,0.02,0.12,0.00,0.10,0,0,0.00,0.17,0.18
Net Debt/EBITDA,-0.31,-0.16,-0.22,-0.15,-0.13,-0.06,-0.06,-0.39,0.09,0.10
Total Debt/EBIT,0.06,0.03,0.17,0.00,0.14,0,0,0.00,0.25,0.24
Net Debt/EBIT,-0.43,-0.21,-0.31,-0.20,-0.18,-0.08,-0.09,-0.56,0.12,0.14
EBITDA to Interest Expense,57.74,379.88,274.07,329.94,506.24,282.53,548.51,802.95,502.16,273.59
EBITDA-CapEx/Interest Expense,34.18,207.80,125.89,139.17,250.80,147.27,237.53,364.75,246.31,127.57
EBIT to Interest Expense,41.90,282.35,199.41,239.28,365.90,203.37,375.04,553.24,348.53,199.09
Interest Expense,6,1,2,1,1,2,1,1,1,2
Common Equity/Total Assets,65.90,74.09,69.00,78.89,83.10,90.62,101.67,92.09,103.31,107.40
Long-Term Debt/Equity (%),0.69,0.36,5.05,0,4.84,0,0,0.01,7.59,8.32
Long-Term Debt/Capital (%),0.68,0.31,3.80,0,3.06,0,0,0.01,3.98,4.18
Long-Term Debt/Total Assets (%),0.45,0.23,2.73,0,2.62,0,0,0.01,4.28,4.68
Total Debt/Equity (%),1.43,0.88,5.31,0.02,4.84,0,0,0.03,7.59,8.33
Total Debt/Capital (%),1.40,0.75,3.99,0.01,3.06,0,0,0.02,3.99,4.18
Total Debt/Total Assets (%),0.94,0.56,2.87,0.01,2.62,0,0,0.02,4.29,4.69
Net Debt to Equity,-10.60,-6.39,-9.83,-7.04,-6.28,-2.48,-2.38,-13.73,3.71,4.79
Net Debt/Capital (%),-11.82,-5.81,-8.32,-5.15,-4.26,-1.72,-1.54,-10.52,1.99,2.45
EBITDA,366,420,437,472,504,542,508,552,574,652
EBITDA-CapEx,217,230,201,199,250,283,220,251,282,304
Operating Income (Loss),266,312,318,342,364,390,347,381,399,475
