,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,1.53,1.39,1.59,1.93,1.65,1.55,1.58,1.46,1.26,1.13
Days Sales Outstanding,238.20,261.99,228.91,188.73,221.37,235.90,230.54,249.40,289.65,322.98
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover Days,0,0,0,0,0,0,0,0,0,0
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0
Inventory to Cash Days,0,0,0,0,0,0,0,0,0,0
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
