,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,198,193,188,183,180,1406,1407,1407,1418,1408
Diluted Weighted Avg Shares,205,193,192,187,183,1098,1419,1422,1428,1429
Basic Weighted Avg Shares,203,193,191,185,182,1086,1407,1407,1416,1417
Revenue per Share,29.56,31.72,32.91,34.74,36.76,6.85,7.91,8.26,8.96,9.92
EBITDA per Share,6.31,7.33,7.99,8.94,8.88,1.56,2.19,2.27,2.54,2.46
Operating Income per Share,5.16,6.12,6.80,7.73,7.63,1.14,1.69,1.81,2.04,1.96
"Basic EPS, GAAP",3.08,3.64,4.00,4.57,5.91,0.54,0.89,0.94,1.52,1.01
Basic EPS from Cont Ops,3.08,3.64,4.00,4.57,5.91,0.54,0.89,0.94,1.52,1.01
"Diluted EPS, GAAP",3.05,3.64,3.97,4.54,5.89,0.53,0.88,0.93,1.50,1.01
Diluted EPS from Cont Ops,3.05,3.64,3.97,4.54,5.89,0.54,0.88,0.93,1.50,1.00
Dividend per Share,1.49,1.64,1.86,2.08,2.27,0.21,0.60,0.60,0.67,0.76
Cash Flow per Share,4.27,5.30,5.19,5.06,5.70,1.48,1.76,1.75,2.03,2.00
Free Cash Flow per Basic Share,3.36,4.41,4.25,4.08,4.56,1.32,1.50,1.38,1.71,1.73
Cash & Equivalents per Share,0.77,1.23,4.85,9.76,0.34,0.06,0.05,0.17,0.40,0.38
Book Value per Share,7.05,9.19,11.54,12.39,14.76,0.85,1.13,1.47,2.27,2.52
Tangible Book Value per Share,-17.20,-17.52,-18.46,-19.20,-27.21,-15.25,-14.95,-14.44,-13.44,-12.87
