,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,8336,8721,11252,14000,14967,14820,13858,15227,13218,30079
ST Debt,343,423,533,808,634,544,705,759,588,5386
LT Debt,7993,8298,10719,13192,14333,14276,13153,14468,12630,24693
Total Debt/EBITDA,43.19,38.42,45.55,44.59,36.77,38.80,57.50,137.18,413.06,219.55
Net Debt/EBITDA,39.99,35.54,43.10,42.43,35.13,37.02,54.46,127.35,384.53,213.08
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,-0.65,-0.87,-0.90,-0.78,-0.66,-0.39,-0.18,-0.17,-0.11,-0.15
EBITDA-CapEx/Interest Expense,-0.32,-0.50,-0.63,-0.42,-0.48,-0.29,-0.12,-0.07,0.11,-0.03
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,-295,-261,-274,-400,-613,-969,-1326,-651,-296,-885
Common Equity/Total Assets,9.28,9.90,10.45,7.79,8.32,9.18,9.47,8.22,8.48,8.89
Long-Term Debt/Equity (%),77.45,78.71,99.63,86.56,95.39,91.54,77.20,80.46,72.49,183.54
Long-Term Debt/Capital (%),46.29,45.31,49.87,50.16,52.22,49.09,44.61,46.47,40.84,49.93
Long-Term Debt/Total Assets (%),8.60,8.84,11.27,9.67,10.41,10.23,9.07,8.49,6.78,13.01
Total Debt/Equity (%),80.78,82.73,104.58,91.86,99.61,95.02,81.34,84.68,75.87,223.57
Total Debt/Capital (%),48.28,47.62,52.35,53.23,54.53,50.96,47.00,48.91,42.74,60.82
Total Debt/Total Assets (%),8.97,9.30,11.83,10.26,10.87,10.62,9.56,8.94,7.09,15.85
Net Debt to Equity,74.80,76.53,98.94,87.42,95.15,90.68,77.04,78.62,70.63,216.98
Net Debt/Capital (%),46.36,45.68,50.96,52.00,53.40,49.79,45.65,47.05,41.00,60.11
EBITDA,193,227,247,314,407,382,241,111,32,137
EBITDA-CapEx,93,130,172,169,295,283,156,48,-34,29
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
