,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,7.89,8.42,7.57,6.99,6.48,6.62,6.66,6.63,7.37,6.61
Days Sales Outstanding,46.26,43.37,48.24,52.22,56.31,55.11,54.80,55.08,49.53,55.22
Inventory Turnover,2.60,2.63,2.57,2.69,2.80,2.93,2.67,2.31,2.44,2.41
Days Inventory Outstanding,140.52,138.99,142.22,135.54,130.34,124.66,136.59,158.07,149.55,151.47
Accounts Payable Turnover,9.02,8.61,6.56,6.44,8.01,7.94,7.49,7.30,7.41,6.46
Accounts Payable Turnover Days,40.45,42.38,55.64,56.70,45.60,45.98,48.70,50.03,49.29,56.50
Cash Conversion Cycle,146.33,139.98,134.82,131.06,141.06,133.79,142.69,163.12,149.79,150.18
Inventory to Cash Days,-94.26,-95.63,-93.97,-83.31,-74.03,-69.55,-81.79,-102.98,-100.02,-96.24
Inventories,502,498,487,474,588,619,705,757,777,858
Raw Materials,293,279,252,256,302,336,388,415,448,536
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,209,219,235,218,286,283,317,342,329,322
Other Inventory,0,0,0,0,0,0,0,0,0,0
