,2019,2020,2021,2022
Total Debt,5408,5452,7599,7272
ST Debt,0,0,0,0
LT Debt,5408,5452,7599,7272
Total Debt/EBITDA,7.46,8.77,9.02,6.84
Net Debt/EBITDA,7.16,8.14,8.48,6.59
Total Debt/EBIT,12.10,16.38,16.99,12.71
Net Debt/EBIT,11.61,15.21,15.97,12.25
EBITDA to Interest Expense,4.09,3.33,4.13,4.69
EBITDA-CapEx/Interest Expense,4.09,3.33,4.13,4.69
EBIT to Interest Expense,2.52,1.78,2.19,2.52
Interest Expense,177,187,204,227
Common Equity/Total Assets,-8.19,-1.36,1.65,-0.64
Long-Term Debt/Equity (%),109.33,95.89,75.07,74.66
Long-Term Debt/Capital (%),117.83,101.50,93.49,98.50
Long-Term Debt/Total Assets (%),49.18,46.94,41.17,40.79
Total Debt/Equity (%),109.33,95.89,75.07,74.66
Total Debt/Capital (%),117.83,101.50,93.49,98.50
Total Debt/Total Assets (%),49.18,46.94,41.17,40.79
Net Debt to Equity,104.95,89.03,70.54,71.95
Net Debt/Capital (%),116.25,99.68,91.62,96.89
EBITDA,725,622,843,1064
EBITDA-CapEx,725,622,843,1064
Operating Income (Loss),447,333,447,572
