,2019,2020,2021,2022
Shares Outstanding,432,433,617,618
Diluted Weighted Avg Shares,422,432,511,618
Basic Weighted Avg Shares,420,430,506,616
Revenue per Share,2.76,2.46,2.70,2.81
EBITDA per Share,1.72,1.45,1.66,1.73
Operating Income per Share,1.06,0.77,0.88,0.93
"Basic EPS, GAAP",0.85,2.27,1.62,0.16
Basic EPS from Cont Ops,0.98,2.33,1.68,0.19
"Diluted EPS, GAAP",0.85,2.26,1.60,0.16
Diluted EPS from Cont Ops,0.98,2.32,1.66,0.19
Dividend per Share,1.26,0.88,0.75,0.88
Cash Flow per Share,1.39,1.37,1.22,1.40
Free Cash Flow per Basic Share,1.39,1.37,1.22,1.40
Cash & Equivalents per Share,0.31,2.31,2.51,1.21
Book Value per Share,-2.09,-0.37,0.50,-0.18
Tangible Book Value per Share,11.46,13.15,16.42,15.75
