,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,8.85,5.61,0.69
Return on Capital (%),0,23.80,15.43,0.96
Return on Invested Capital (%),0,3.09,3.09,-0.92
Gross Margin (%),70.92,67.58,69.37,69.27
EBITDA Margin (%),62.56,58.77,61.74,61.57
Operating Margin (%),38.58,31.45,32.77,33.12
Incremental Operating Margin (%),0,113.24,37.33,34.43
Pretax Margin (%),26.92,87.71,54.60,2.56
Profit Margin (%),35.43,94.61,61.85,7.29
Net Income to Common Margin (%),30.94,92.20,59.99,5.83
Effective Tax Rate (%),0,0.11,0.45,127.88
Dvd Payout Ratio (%),131.57,36.19,42.98,667.13
Sustainable Growth Rate (%),0,0,0,0
