,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,0.72,0.03,0.04,0.03,0.04,0.04,0.04,0.08,0.05,0.16
Current Ratio,3.02,2.61,2.46,2.60,2.61,2.45,2.39,2.42,3.20,2.60
Quick Ratio,0.81,0.17,0.17,0.17,0.15,0.14,0.16,0.22,0.32,0.32
CFO/Avg Current Liab,-0.79,-1.03,-0.15,-0.44,-0.07,0.13,-0.17,0.41,-1.36,0.64
Common Equity/Total Assets,19.86,15.90,12.73,12.14,12.22,11.69,12.19,13.78,13.69,14.52
Long-Term Debt/Equity (%),221.30,279.36,356.04,380.45,384.49,411.27,408.20,344.67,357.15,326.01
Long-Term Debt/Capital (%),74.08,78.68,82.73,83.60,83.59,84.22,83.53,81.33,81.73,80.49
Long-Term Debt/Total Assets (%),62.70,66.82,71.42,72.65,72.93,73.76,72.98,69.84,70.99,69.89
Total Debt/Equity (%),228.62,288.56,366.91,391.49,395.51,423.13,420.53,355.75,368.16,337.28
Total Debt/Capital (%),76.53,81.28,85.25,86.03,85.99,86.65,86.05,83.95,84.25,83.28
Total Debt/Total Assets (%),64.78,69.02,73.60,74.76,75.02,75.89,75.18,72.08,73.18,72.31
CFO/Total Liabilities,-7.31,-9.64,-1.29,-3.55,-0.57,1.06,-1.37,3.89,-12.08,6.24
CFO/CapEx,-1.98,-3.12,-0.47,-1.12,-0.27,0.53,-0.71,4.06,-8.26,3.04
Altman's Z-Score,2.76,2.43,1.96,1.97,1.88,1.78,1.87,1.96,2.18,1.76
