,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),13.39,13.68,13.94,11.83,10.48,15.35,7.46,10.81,6.50,8.39
Return on Assets (%),5.63,5.77,6.33,5.61,5.17,8.26,3.98,5.51,3.39,4.55
Return on Capital (%),8.41,8.41,8.86,7.87,0,10.16,5.61,6.70,4.59,5.63
Return on Invested Capital (%),12.06,12.05,12.98,11.50,0,8.88,6.51,7.13,9.41,10.61
Gross Margin (%),20.57,21.16,22.16,22.40,22.01,21.68,22.07,23.32,22.01,21.43
EBITDA Margin (%),4.50,4.69,5.16,5.01,3.69,4.19,4.53,4.64,5.01,5.20
Operating Margin (%),2.77,2.89,3.26,2.98,1.70,2.16,1.84,2.10,2.52,2.78
Incremental Operating Margin (%),-2.37,4.08,32.16,-2.54,-18.44,-35.27,-32.30,5.18,12.93,6.26
Pretax Margin (%),2.32,2.44,2.82,2.53,1.21,3.28,1.62,2.54,1.49,1.96
Profit Margin (%),1.54,1.59,1.86,1.71,1.55,2.57,1.36,1.95,1.20,1.51
Net Income to Common Margin (%),1.54,1.59,1.86,1.71,1.55,2.57,1.36,1.95,1.20,1.51
Effective Tax Rate (%),32.91,34.05,33.78,32.84,0,22.62,23.67,23.20,18.77,22.50
Dvd Payout Ratio (%),20.67,19.14,18.70,22.12,23.68,14.35,35.60,20.61,35.12,30.26
Sustainable Growth Rate (%),10.62,11.06,11.33,9.21,8.00,13.15,4.80,8.58,4.22,5.85
