,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,5808,6012,8680,9642,10441,11333,11555,13979,16121,14877
+ Sales & Services Revenue,5808,6012,8680,9642,10441,11333,11555,13979,16121,14877
- Cost of Revenue,3585,3809,5777,6461,6977,8157,8302,9026,10497,10492
+ Cost of Goods & Services,3585,3809,5777,6461,6977,8157,8302,9026,10497,10492
Gross Profit,2223,2203,2903,3181,3464,3176,3253,4953,5624,4385
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1211,1275,1787,1810,2029,1803,1868,2005,2322,2256
"+ Selling, General & Admin",1129,1198,1622,1630,1812,1571,1625,1729,1952,1997
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,82,77,165,180,217,232,243,275,370,259
Operating Income (Loss),1013,928,1117,1371,1435,1374,1385,2948,3303,2129
- Non-Operating (Income) Loss,97,102,385,265,300,106,280,729,176,547
"+ Interest Expense, Net",104,110,275,219,235,244,241,207,212,180
+ Interest Expense,104,110,275,219,235,244,241,207,212,180
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,-7,-8,110,46,65,-139,39,522,-36,366
Pretax Income,916,827,732,1106,1135,1268,1105,2219,3127,1583
- Income Tax Expense (Benefit),340,314,294,372,-139,384,280,662,747,302
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,575,513,438,733,1274,884,825,1557,2380,1281
- Net Extraordinary Losses (Gains),3,3,2,2,12,0,2,2,4,3
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,3,3,2,2,12,0,2,2,4,3
Income (Loss) Incl. MI,572,510,436,731,1262,884,823,1555,2375,1278
- Minority Interest,-2,-1,-1,-1,-6,0,-1,-1,-2,-1
"Net Income, GAAP",574,511,437,732,1268,884,824,1556,2377,1279
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",574,511,437,732,1268,884,824,1556,2377,1279
Basic Weighted Avg Shares,86,85,99,103,102,101,98,97,97,91
"Basic EPS, GAAP",6.70,6.03,4.42,7.14,12.38,8.71,8.41,15.99,24.58,14.04
Basic EPS from Cont Ops,6.71,6.04,4.43,7.15,12.44,8.72,8.43,16.00,24.61,14.06
Diluted Weighted Avg Shares,92,86,101,104,104,103,99,98,98,92
"Diluted EPS, GAAP",6.25,5.92,4.34,7.02,12.21,8.61,8.35,15.88,24.38,13.96
Diluted EPS from Cont Ops,6.27,5.93,4.35,7.03,12.26,8.62,8.37,15.89,24.41,13.98
EBITDA,1243,1174,1575,1870,1968,1926,1962,3573,4048,2763
EBITDA Margin (%),21.40,19.52,18.14,19.39,18.85,16.99,16.98,25.56,25.11,18.57
EBITA,1161,928,1117,1371,1435,1374,1385,2948,3303,2129
EBIT,1013,928,1117,1371,1435,1374,1385,2948,3303,2129
Gross Margin (%),38.28,36.65,33.45,32.99,33.18,28.03,28.15,35.43,34.89,29.48
Operating Margin (%),17.44,15.44,12.87,14.22,13.74,12.12,11.98,21.09,20.49,14.31
Profit Margin (%),9.88,8.50,5.03,7.59,12.15,7.80,7.13,11.13,14.75,8.60
Sales per Employee,170832,125242,173602,185419,174023,185793,177766,193073,213522,185960
Dividend per Share,0,0,0,0,0,0,0,0,0,2.14
Depreciation Expense,82,246,458,499,533,552,577,625,745,634
