,2014,2015,2016,2017,2018,2019,2019,2020,2021,2022
Total Current Assets,1991,2665,2402,1948,2224,2154,5718,6065,6037,6754
"+ Cash, Cash Equivalents & STI",561,481,487,484,288,530,824,1276,941,880
+ Cash & Cash Equivalents,561,481,487,484,288,530,824,1276,941,880
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,594,1139,937,623,1422,1264,0,3781,4066,4278
"+ Accounts Receivable, Net",566,1139,937,623,468,457,1216,1344,1045,1251
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",28,0,0,0,954,807,-1216,2437,3021,3027
+ Inventories,619,1044,964,841,411,360,1219,973,982,1291
+ Raw Materials,131,196,200,195,199,193,0,470,506,714
+ Work In Process,36,256,123,96,121,90,0,367,335,396
+ Finished Goods,105,100,129,96,91,77,0,136,141,181
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,347,492,512,454,0,0,1219,0,0,0
+ Other ST Assets,217,0,14,0,103,0,3675,35,48,305
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,2940,10464,9594,8140,7627,7963,31321,30895,28672,26770
"+ Property, Plant & Equip, Net",728,1165,1015,904,900,-499,0,1101,903,2860
"+ Property, Plant & Equip",1744,2313,2152,2071,2183,894,0,2868,2870,5093
- Accumulated Depreciation,1016,1148,1137,1167,1283,1393,0,1767,1967,2233
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,2212,9299,8579,7236,6727,8462,31321,29794,27769,23910
+ Total Intangible Assets,1969,8123,7517,6470,6361,6210,28276,26784,24829,23284
+ Goodwill,1711,6348,5975,5366,5372,5340,0,18876,18189,17283
+ Other Intangible Assets,258,1775,1542,1104,989,870,28276,7908,6640,6001
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,243,1176,1062,766,366,2252,3045,3010,2940,626
Total Assets,4931,13129,11996,10088,9851,10117,37039,36960,34709,33524
+ Payables & Accruals,574,581,602,540,954,525,0,1406,1767,3139
+ Accounts Payable,324,581,602,540,622,525,1261,1406,1767,1945
+ Accrued Taxes,0,57,11,31,15,8,0,49,28,376
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,250,-57,-11,-31,317,-8,-1261,-49,-28,818
+ ST Debt,60,163,397,634,382,759,0,10,13,820
+ ST Borrowings,60,163,397,634,382,759,0,10,13,820
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other ST Liabilities,481,782,526,392,514,657,3195,1707,1741,1817
+ Deferred Revenue,266,433,319,252,372,496,1214,1198,1297,1400
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,2,7,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,213,342,207,140,142,161,1981,509,444,417
Total Current Liabilities,1115,1527,1525,1566,1850,1941,3195,3123,3521,5776
+ LT Debt,1576,5216,4120,3396,3408,2763,781,7642,7816,6966
+ LT Borrowings,1576,5216,4120,3396,3408,2763,0,6908,7048,6225
+ LT Finance Leases,0,0,0,0,0,0,781,734,768,741
+ Other LT Liabilities,415,2984,3294,2198,1315,2050,10323,5354,4053,2158
+ Accrued Liabilities,84,78,9,34,79,12,0,1237,1344,719
+ Pension Liabilities,20,1943,2296,1278,714,1174,1819,1906,614,262
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,312,963,989,886,522,864,8504,2211,2095,1177
Total Noncurrent Liabilities,1991,8200,7414,5594,4723,4813,11104,12996,11869,9124
Total Liabilities,3106,9727,8939,7160,6573,6754,14299,16119,15390,14900
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,615,2155,2221,1861,1832,1897,0,208,194,191
+ Common Stock,106,124,125,120,118,119,0,208,194,191
+ Additional Paid in Capital,509,2031,2096,1741,1714,1778,0,0,0,0
- Treasury Stock,0,0,0,0,0,0,0,0,0,0
+ Retained Earnings,1226,1258,1330,1343,1648,2173,0,2347,2917,2943
+ Other Equity,-15,-16,-495,-276,-202,-707,0,-839,-146,-288
Equity Before Minority Interest,1826,3397,3056,2928,3278,3363,22740,20724,19213,18523
+ Minority/Non Controlling Interest,-1,5,1,0,0,0,0,117,106,101
Total Equity,1825,3402,3057,2928,3278,3363,22740,20841,19319,18624
Total Liabilities & Equity,4931,13129,11996,10088,9851,10117,37039,36960,34709,33524
Shares Outstanding,106,124,125,120,118,221,218,208,194,191
Capital Leases - Total,0,0,0,0,0,0,781,734,768,741
