,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1306,1865,1585,3342,3404,4311,5401,4291,4224,3935
ST Debt,42,64,56,66,126,122,548,280,238,222
LT Debt,1264,1801,1529,3276,3278,4189,4853,4011,3986,3713
Total Debt/EBITDA,2.08,2.36,1.86,3.32,3.10,3.47,4.17,3.17,2.37,2.31
Net Debt/EBITDA,1.84,2.21,1.76,3.09,2.85,3.20,2.72,1.89,1.43,1.39
Total Debt/EBIT,2.42,2.81,2.19,4.17,3.93,4.55,5.51,4.07,2.83,2.73
Net Debt/EBIT,2.14,2.63,2.07,3.89,3.60,4.20,3.59,2.43,1.70,1.65
EBITDA to Interest Expense,12.25,12.24,14.73,11.41,10.79,8.48,9.35,13.05,24.68,21.87
EBITDA-CapEx/Interest Expense,10.48,10.06,11.78,9.07,9.03,6.78,7.43,11.39,20.61,19.03
EBIT to Interest Expense,10.56,10.30,12.52,9.08,8.53,6.48,7.08,10.16,20.74,18.49
Interest Expense,51,65,58,88,102,146,139,104,72,78
Common Equity/Total Assets,29.31,30.61,37.70,31.23,33.39,31.62,32.42,38.67,45.98,55.32
Long-Term Debt/Equity (%),53.78,66.20,49.08,95.14,77.92,86.57,96.13,70.72,68.89,67.62
Long-Term Debt/Capital (%),48.06,50.44,41.16,55.19,50.12,52.56,50.64,44.14,39.72,34.92
Long-Term Debt/Total Assets (%),27.98,32.31,27.07,39.45,34.99,36.76,37.97,32.45,31.62,30.84
Total Debt/Equity (%),55.55,68.53,50.88,97.06,80.92,89.08,106.98,75.66,73.00,71.66
Total Debt/Capital (%),49.64,52.22,42.67,56.30,52.05,54.09,56.35,47.23,42.09,37.01
Total Debt/Total Assets (%),28.90,33.45,28.06,40.25,36.34,37.83,42.26,34.71,33.51,32.69
Net Debt to Equity,49.15,64.32,48.07,90.46,74.27,82.23,69.70,45.12,43.86,43.31
Net Debt/Capital (%),46.59,50.63,41.29,54.56,49.91,52.10,38.83,29.17,26.00,22.97
EBITDA,627,790,852,1007,1097,1242,1295,1354,1779,1706
EBITDA-CapEx,537,649,682,800,918,992,1029,1182,1485,1484
Operating Income (Loss),540,665,724,801,867,948,981,1055,1495,1442
