,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,1117,1111,1105,1101,1100,1057,958,957,954,950
Diluted Weighted Avg Shares,1085,1074,1066,1062,1052,1034,936,913,912,905
Basic Weighted Avg Shares,1081,1070,1062,1058,1052,1028,931,908,907,902
Revenue per Share,21.38,18.33,18.80,20.05,21.74,20.91,23.97,27.04,31.22,31.65
EBITDA per Share,6.47,4.40,4.73,5.07,6.18,7.19,7.54,9.01,10.03,10.87
Operating Income per Share,5.13,3.11,3.38,3.66,4.69,5.63,6.22,7.55,8.32,9.18
"Basic EPS, GAAP",4.33,2.23,2.27,2.59,-0.19,3.14,8.93,6.82,6.15,6.93
Basic EPS from Cont Ops,4.33,2.23,2.27,2.59,-0.19,3.07,4.98,6.82,6.15,6.93
"Diluted EPS, GAAP",4.32,2.23,2.26,2.58,-0.19,3.13,8.89,6.79,6.12,6.90
Diluted EPS from Cont Ops,4.32,2.23,2.26,2.58,-0.19,3.05,4.96,6.79,6.12,6.90
Dividend per Share,1.96,1.96,2.00,2.04,2.08,2.25,2.59,2.96,3.40,3.92
Cash Flow per Share,5.31,4.08,2.61,4.58,5.34,5.38,5.19,7.16,8.01,7.86
Free Cash Flow per Basic Share,4.29,2.62,1.08,3.55,3.28,2.44,3.74,4.93,5.94,5.10
Cash & Equivalents per Share,4.83,4.35,4.03,5.49,7.30,7.01,2.55,3.85,4.10,2.33
Book Value per Share,15.84,15.47,15.11,15.20,13.26,11.41,5.76,8.81,10.02,11.19
Tangible Book Value per Share,11.92,9.68,4.99,5.22,2.97,8.02,-7.94,-5.64,-2.55,-0.53
