,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),27.16,13.71,14.22,16.37,-1.30,24.27,94.66,88.81,62.08,61.86
Return on Assets (%),13.45,6.60,6.62,7.36,-0.49,7.27,20.00,14.42,11.70,12.71
Return on Capital (%),21.27,10.42,10.20,11.15,-0.81,13.39,38.67,27.89,22.73,24.43
Return on Invested Capital (%),19.53,10.88,12.97,13.27,-1.82,20.90,25.36,28.26,27.92,28.34
Gross Margin (%),78.76,74.85,74.76,73.35,73.46,78.22,78.85,77.66,74.18,76.77
EBITDA Margin (%),30.26,24.00,25.15,25.29,28.41,34.40,31.46,33.31,32.12,34.35
Operating Margin (%),24.00,16.97,18.00,18.24,21.56,26.92,25.94,27.91,26.65,29.01
Incremental Operating Margin (%),104.53,63.46,76.77,22.10,64.27,-61.98,0.51,47.75,18.49,328.39
Pretax Margin (%),25.48,15.30,13.98,15.90,9.61,17.12,23.59,29.46,21.74,23.85
Profit Margin (%),20.27,12.19,12.07,12.90,-0.89,15.04,37.27,25.24,19.71,21.88
Net Income to Common Margin (%),20.27,12.19,12.07,12.90,-0.89,15.04,37.27,25.24,19.71,21.88
Effective Tax Rate (%),20.45,20.32,13.68,18.86,109.29,14.39,11.93,14.33,9.32,8.25
Dvd Payout Ratio (%),45.27,87.90,88.33,78.85,-1074.03,73.38,51.96,43.38,55.30,56.62
Sustainable Growth Rate (%),14.87,1.66,1.66,3.46,-15.30,6.46,45.47,50.28,27.75,26.83
