,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,5821,5520,5582,5345,5344,5839,6367,6932,6625,6455
ST Debt,501,250,0,0,450,0,300,250,300,500
LT Debt,5320,5270,5582,5345,4894,5839,6067,6682,6325,5955
Total Debt/EBITDA,1455.25,1380.00,1395.50,1336.25,1336.00,648.78,244.88,187.35,179.05,174.46
Net Debt/EBITDA,864.25,400.25,609.00,655.75,929.00,388.22,146.31,134.43,108.46,84.11
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,0.02,0.01,0.01,0.01,0.02,0.03,0.08,0.13,0.14,0.13
EBITDA-CapEx/Interest Expense,0.02,0.01,0.01,0.01,0.02,0.03,0.08,0.13,0.14,0.13
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,265,267,272,331,253,297,326,284,270,283
Common Equity/Total Assets,5.02,4.99,5.07,4.94,5.00,4.68,4.19,3.76,3.57,3.13
Long-Term Debt/Equity (%),39.55,33.48,40.99,36.92,28.25,40.69,30.81,29.44,31.20,116.72
Long-Term Debt/Capital (%),30.04,29.01,30.41,29.28,25.18,29.52,29.77,32.28,30.92,33.25
Long-Term Debt/Total Assets (%),2.25,2.08,2.22,2.04,1.74,1.96,1.81,1.83,1.63,1.78
Total Debt/Equity (%),43.27,35.07,40.99,36.92,30.85,40.69,32.34,30.54,32.68,126.52
Total Debt/Capital (%),32.87,30.39,30.41,29.28,27.50,29.52,31.24,33.49,32.39,36.04
Total Debt/Total Assets (%),2.46,2.18,2.22,2.04,1.90,1.96,1.90,1.89,1.71,1.93
Net Debt to Equity,25.70,10.17,17.89,18.12,21.45,24.35,19.32,21.91,19.80,61.00
Net Debt/Capital (%),22.53,11.24,16.02,16.88,20.87,20.04,21.35,26.19,22.49,21.36
EBITDA,4,4,4,4,4,9,26,37,37,37
EBITDA-CapEx,4,4,4,4,4,9,26,37,37,37
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
