,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,13492,15085,12394,14999,16765,10499,11539,9536,12145,5198
- Cash & Cash Equivalents,2364,3919,3146,2722,1628,2345,2563,1708,2612,3343
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,986
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,5821,5520,5582,5345,5344,5839,6367,6932,6625,6455
Enterprise Value,-64027,-70383,-70969,-71866,-74605,-80031,-89857,-108284,-102588,-90440
Total Capital,17711,18164,18354,18257,19436,19782,20383,20700,20456,17909
Total Debt/Capital (%),32.87,30.39,30.41,29.28,27.50,29.52,31.24,33.49,32.39,36.04
Total Debt / EV,-0.09,-0.08,-0.08,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.07
EV/Sales,0,0,0,0,0,0,0,0,0,0
EV/EBITDA,0,0,0,0,0,0,0,0,0,0
EV/EBIT,0,0,0,0,0,0,0,0,0,0
EV/Cash Flow to Firm,0,0,0,0,0,0,0,0,0,0
EV/Free Cash Flow to Firm,0,0,0,0,0,0,0,0,0,0
Diluted Market Cap,14118,15756,12957,15693,17388,11197,11857,9642,12961,5305
Diluted Enterprise Value,17575,17357,15393,18316,21104,14691,15661,14866,16974,9403
EV per Share,0,0,0,0,0,0,0,0,0,0
TTM Sales,11969,13554,13572,13330,14257,16424,17258,17439,19230,18925
TTM EBITDA,4,4,4,4,4,9,26,37,37,37
TTM Operating Income,0,0,0,0,0,0,0,0,0,0
TTM Cash Flow to Firm,1001,2728,2463,1543,1253,2202,-2372,869,383,3832
TTM Free Cash Flow to Firm,1001,2728,2463,1543,1253,2202,-2372,869,383,3832
