,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,3616,3931,3995,4564,5282,5944,6528,7166,7883,8718
ST Debt,638,324,473,249,1271,698,995,397,1148,1050
LT Debt,2978,3607,3522,4316,4011,5246,5533,6769,6735,7668
Total Debt/EBITDA,3.83,3.99,4.03,4.43,4.65,4.94,4.85,5.29,5.43,5.45
Net Debt/EBITDA,3.82,3.93,4.03,4.42,4.62,4.92,4.84,5.25,5.40,5.44
Total Debt/EBIT,6.77,7.23,6.92,7.32,8.08,8.65,8.39,9.68,9.92,9.39
Net Debt/EBIT,6.75,7.13,6.91,7.31,8.04,8.62,8.37,9.61,9.87,9.37
EBITDA to Interest Expense,5.47,5.46,5.30,5.25,5.27,4.88,4.93,4.93,5.24,4.92
EBITDA-CapEx/Interest Expense,5.47,5.46,5.30,5.25,5.27,4.88,4.93,4.93,5.24,4.92
EBIT to Interest Expense,3.09,3.01,3.08,3.18,3.03,2.78,2.85,2.69,2.87,2.86
Interest Expense,173,181,187,196,216,247,273,275,277,325
Common Equity/Total Assets,16.03,16.04,16.57,16.30,16.55,16.52,16.57,16.92,17.53,17.42
Long-Term Debt/Equity (%),90.70,99.07,89.76,106.24,91.52,109.62,102.37,114.96,112.44,122.18
Long-Term Debt/Capital (%),55.15,59.40,56.22,62.15,51.22,60.36,58.27,65.33,60.48,62.70
Long-Term Debt/Total Assets (%),26.80,29.84,28.19,32.27,28.27,34.01,33.13,38.22,36.30,38.03
Total Debt/Equity (%),110.13,107.98,101.82,112.37,120.52,124.20,120.77,121.71,131.60,138.91
Total Debt/Capital (%),66.97,64.74,63.77,65.73,67.45,68.38,68.74,69.16,70.79,71.28
Total Debt/Total Assets (%),32.54,32.53,31.98,34.13,37.23,38.53,39.09,40.46,42.49,43.24
Net Debt to Equity,109.83,106.42,101.67,112.16,119.88,123.77,120.47,120.79,130.95,138.59
Net Debt/Capital (%),66.91,64.41,63.74,65.69,67.34,68.31,68.69,68.99,70.69,71.24
EBITDA,945,986,991,1030,1137,1204,1345,1355,1452,1599
EBITDA-CapEx,945,986,991,1030,1137,1204,1345,1355,1452,1599
Operating Income (Loss),534,544,577,623,653,687,778,740,795,928
