,2020,2021,2022,2023
Total Debt,23750,26211,29384,37994
ST Debt,3039,1653,1504,1606
LT Debt,20711,24558,27880,36388
Total Debt/EBITDA,3.07,2.33,2.10,3.13
Net Debt/EBITDA,2.41,1.52,1.69,2.69
Total Debt/EBIT,3.76,2.72,2.43,3.74
Net Debt/EBIT,2.94,1.77,1.95,3.21
EBITDA to Interest Expense,11.18,13.26,15.58,10.47
EBITDA-CapEx/Interest Expense,9.03,11.14,13.51,8.89
EBIT to Interest Expense,9.14,11.38,13.48,8.76
Interest Expense,691,848,897,1160
Common Equity/Total Assets,5.34,3.17,-10.71,-33.31
Long-Term Debt/Equity (%),1050.25,1708.98,0,0
Long-Term Debt/Capital (%),80.10,88.68,113.31,155.29
Long-Term Debt/Total Assets (%),52.47,52.55,62.46,83.25
Total Debt/Equity (%),1204.36,1824.01,-610.13,-266.55
Total Debt/Capital (%),91.85,94.65,119.43,162.14
Total Debt/Total Assets (%),60.17,56.08,65.82,86.93
Net Debt to Equity,942.70,1189.28,-489.91,-228.79
Net Debt/Capital (%),73.94,74.29,100.52,147.67
EBITDA,7724,11241,13975,12140
EBITDA-CapEx,6240,9450,12122,10311
Operating Income (Loss),6314,9647,12093,10159
