,2020,2021,2022,2023
Cash Ratio,0.06,0.28,0.07,0.09
Current Ratio,1.01,1.19,1.02,1.10
Quick Ratio,0.06,0.28,0.07,0.09
CFO/Avg Current Liab,0,0.65,0.53,0.44
Common Equity/Total Assets,5.34,3.17,-10.71,-33.31
Long-Term Debt/Equity (%),1050.25,1708.98,0,0
Long-Term Debt/Capital (%),80.10,88.68,113.31,155.29
Long-Term Debt/Total Assets (%),52.47,52.55,62.46,83.25
Total Debt/Equity (%),1204.36,1824.01,-610.13,-266.55
Total Debt/Capital (%),91.85,94.65,119.43,162.14
Total Debt/Total Assets (%),60.17,56.08,65.82,86.93
CFO/Total Liabilities,11.46,24.39,20.45,14.82
CFO/CapEx,2.89,6.17,5.46,4.70
Altman's Z-Score,3.86,4.36,4.88,3.86
