,2020,2021,2022,2023
Shares Outstanding,763,731,670,601
Diluted Weighted Avg Shares,778,750,699,631
Basic Weighted Avg Shares,777,748,696,629
Revenue per Share,92.85,119.78,138.29,154.31
EBITDA per Share,9.94,15.03,20.08,19.30
Operating Income per Share,8.13,12.90,17.38,16.15
"Basic EPS, GAAP",5.51,7.80,12.13,10.23
Basic EPS from Cont Ops,5.51,7.80,12.13,10.23
"Diluted EPS, GAAP",5.50,7.78,12.08,10.20
Diluted EPS from Cont Ops,5.50,7.78,12.08,10.20
Dividend per Share,2.08,2.28,2.85,3.77
Cash Flow per Share,5.53,14.77,14.53,13.66
Free Cash Flow per Basic Share,3.62,12.38,11.87,10.75
Cash & Equivalents per Share,1.15,7.11,2.10,2.88
Book Value per Share,2.76,2.03,-7.13,-24.23
Tangible Book Value per Share,2.19,1.54,-8.43,-23.72
