,2020,2021,2022,2023
Return on Common Equity (%),0,324.98,0,0
Return on Assets (%),0,13.54,18.48,14.57
Return on Capital (%),0,24.18,34.87,30.24
Return on Invested Capital (%),0,26.85,34.22,28.97
Gross Margin (%),31.80,33.01,33.30,33.23
EBITDA Margin (%),10.71,12.55,14.52,12.51
Operating Margin (%),8.75,10.77,12.56,10.47
Incremental Operating Margin (%),0,19.10,36.77,-239.06
Pretax Margin (%),7.79,8.64,11.64,9.31
Profit Margin (%),5.93,6.51,8.77,6.63
Net Income to Common Margin (%),5.93,6.51,8.77,6.63
Effective Tax Rate (%),23.87,24.60,24.68,28.76
Dvd Payout Ratio (%),37.79,29.20,23.50,36.82
Sustainable Growth Rate (%),0,230.08,0,0
