,2020,2021,2022,2023
Accounts Receivable Turnover,0,0,0,0
Days Sales Outstanding,0,0,0,0
Inventory Turnover,0,4.09,3.80,3.59
Days Inventory Outstanding,0,89.30,96.09,101.77
Accounts Payable Turnover,0,6.80,5.90,6.01
Accounts Payable Turnover Days,0,53.68,61.86,60.75
Cash Conversion Cycle,0,35.62,34.23,41.03
Inventory to Cash Days,0,-89.30,-96.09,-101.77
Inventories,13179,16193,17605,18532
Raw Materials,0,0,0,0
Work In Process,0,0,0,0
Finished Goods,13179,16193,17605,18532
Other Inventory,0,0,0,0
