,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),19.31,17.09,20.50,30.67,32.81,24.09,20.99,29.83,27.79,48.89
Return on Assets (%),8.30,7.55,8.45,13.92,19.35,17.90,16.96,25.67,27.84,25.08
Return on Capital (%),14.94,12.68,13.35,19.98,25.02,18.30,15.16,22.12,22.11,31.69
Return on Invested Capital (%),9.36,10.67,11.20,17.56,25.61,23.95,22.85,35.51,41.29,36.90
Gross Margin (%),43.57,43.43,44.49,44.97,46.63,45.15,45.88,46.53,45.69,44.62
EBITDA Margin (%),21.05,21.78,23.20,27.57,31.96,28.74,29.29,32.74,33.18,31.90
Operating Margin (%),14.71,16.49,18.25,23.74,29.01,25.53,26.62,30.64,31.24,29.93
Incremental Operating Margin (%),55.31,29.11,33.00,38.91,42.80,52.59,53.45,39.47,34.60,-81.80
Pretax Margin (%),15.70,14.09,16.31,22.61,28.45,25.34,25.64,29.88,30.15,29.32
Profit Margin (%),13.72,12.47,15.53,21.19,21.49,22.70,22.42,26.72,26.73,25.88
Net Income to Common Margin (%),13.72,12.47,15.53,21.19,21.49,22.70,22.42,26.72,26.73,25.88
Effective Tax Rate (%),12.59,11.51,4.80,6.29,24.47,10.43,12.55,10.58,11.32,11.71
Dvd Payout Ratio (%),0,17.70,20.83,14.34,12.92,30.95,29.17,18.60,17.70,20.13
Sustainable Growth Rate (%),19.31,14.06,16.23,26.27,28.57,16.63,14.87,24.28,22.87,39.05
