,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),0,0,0,244.78,99.25,62.85,33.85,24.41,14.12,53.60
Return on Assets (%),0,26.10,13.54,14.08,15.91,16.50,9.49,7.16,4.81,18.93
Return on Capital (%),0,406.84,205.51,24.83,17.02,17.69,11.09,9.12,7.73,21.83
Return on Invested Capital (%),0,32.13,14.90,19.44,22.36,23.19,13.58,10.05,10.49,15.66
Gross Margin (%),20.80,20.08,22.29,24.83,25.69,26.71,23.61,22.66,20.30,26.77
EBITDA Margin (%),15.73,16.34,15.67,19.80,21.13,22.12,19.54,18.08,15.53,20.65
Operating Margin (%),12.92,13.04,12.47,16.36,16.94,17.79,14.68,12.93,10.84,16.49
Incremental Operating Margin (%),0,16.12,-11.77,83.24,24.17,26.53,-310.58,67.57,-7.10,34.97
Pretax Margin (%),12.73,12.83,12.27,14.43,13.77,14.94,11.84,9.71,6.91,14.45
Profit Margin (%),9.27,9.17,9.53,10.32,12.17,12.74,9.65,8.66,4.90,18.86
Net Income to Common Margin (%),9.27,9.17,9.53,10.32,12.17,12.74,9.65,8.66,4.90,18.86
Effective Tax Rate (%),32.84,37.41,39.33,37.23,25.72,23.80,25.02,25.39,25.34,29.06
Dvd Payout Ratio (%),0,0,0,240.71,24.46,22.85,33.15,42.57,68.89,14.48
Sustainable Growth Rate (%),0,0,0,-344.42,74.98,48.48,22.63,14.02,4.39,45.84
