,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,2160,2268,2288,2674,3153,3848,4193,3650,6684,8160
"+ Cash, Cash Equivalents & STI",1299,1382,1303,1527,1825,2372,2470,2538,4885,5606
+ Cash & Cash Equivalents,1299,1382,1303,1527,1825,2372,2470,2538,4885,5606
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,439,419,453,569,725,845,1029,487,1067,1465
"+ Accounts Receivable, Net",439,419,453,569,725,829,995,487,1067,1465
"+ Notes Receivable, Net",0,0,0,0,21,15,35,15,19,34
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,-21,0,0,-15,-19,-34
+ Inventories,12,13,14,15,17,13,16,22,34,39
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,12,13,14,15,17,13,16,22,34,39
+ Other ST Assets,409,454,518,563,585,619,677,603,699,1049
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,3523,3721,3868,4091,4352,4649,6783,6940,7718,8301
"+ Property, Plant & Equip, Net",707,695,731,752,886,947,2520,924,903,1207
"+ Property, Plant & Equip",1503,1551,1626,1745,2014,2217,3941,2526,2631,3059
- Accumulated Depreciation,796,855,895,994,1128,1270,1421,1602,1728,1852
+ LT Investments & Receivables,40,127,82,82,105,137,168,170,294,409
+ LT Investments,40,127,82,82,105,137,168,170,294,409
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,2777,2898,3055,3257,3360,3565,4095,5846,6522,6685
+ Total Intangible Assets,2520,2531,2751,2928,2853,2853,3238,3354,3986,3949
+ Goodwill,1467,1479,1604,1747,1755,1823,1998,2129,2591,2529
+ Other Intangible Assets,1053,1052,1147,1181,1098,1030,1239,1225,1395,1419
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,257,367,303,329,507,712,858,2492,2536,2737
Total Assets,5684,5988,6156,6764,7504,8497,10976,10589,14402,16461
+ Payables & Accruals,1283,1268,1251,1371,1910,2108,2221,1725,3289,4340
+ Accounts Payable,768,732,722,782,1034,1127,1106,830,1643,1971
+ Accrued Taxes,0,0,0,0,0,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,516,536,530,589,876,980,1115,894,1646,2368
+ ST Debt,278,47,42,53,348,82,160,161,709,760
+ ST Borrowings,278,47,42,53,348,82,38,53,585,620
+ ST Finance Leases,0,0,0,0,0,0,122,107,124,140
+ Other ST Liabilities,694,695,808,1036,1319,1560,1727,1911,2858,3204
+ Deferred Revenue,486,543,619,805,925,1228,1391,1839,2775,3135
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,207,152,189,231,394,332,336,72,83,69
Total Current Liabilities,2256,2011,2101,2460,3577,3750,4108,3797,6856,8303
+ LT Debt,1530,2016,2003,2260,1952,2733,4646,6301,6752,6938
+ LT Borrowings,1530,2016,2003,2260,1952,2733,3271,4855,5145,5283
