,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,0,0,0,0,0,0
Return on Assets (%),-0.79,-1.65,-1.08,-0.73,-1.37,-0.22,-0.05,-15.98,-5.37,0.97
Return on Capital (%),0,0,-26.27,-4.27,0,-1.48,-0.78,0,0,2.10
Return on Invested Capital (%),0,0,-9.77,2.12,0,4.65,3.70,0,0,7.01
Gross Margin (%),27.75,28.35,28.28,27.20,25.04,26.14,26.68,24.65,30.51,26.04
EBITDA Margin (%),7.36,7.51,7.50,7.17,5.28,6.21,6.64,-62.74,-0.04,6.89
Operating Margin (%),1.66,2.15,2.02,2.33,0.87,2.62,2.79,-88.80,-6.69,4.20
Incremental Operating Margin (%),19.20,10.26,-0.36,4.39,-5.28,42.74,5.20,0,0,10.75
Pretax Margin (%),-0.08,-1.45,0.09,0.58,-0.09,1.22,1.60,-99.76,-9.75,3.03
Profit Margin (%),-0.67,-1.40,-0.91,-0.56,-0.94,-0.16,-0.04,-92.59,-10.70,0.89
Net Income to Common Margin (%),-0.67,-1.40,-0.91,-0.56,-0.94,-0.16,-0.04,-92.59,-10.70,0.89
Effective Tax Rate (%),0,0,348.21,58.00,0,31.09,36.14,0,0,19.04
Dvd Payout Ratio (%),0,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),0,0,0,0,0,0,0,0,0,0
